Kennedy-Wilson Holdings Price to Free Cash Flow Ratio Historical Data,Kennedy-Wilson Holdings Price to Free Cash Flow Ratio Historical Data,Kennedy-Wilson Holdings Price to Free Cash Flow Ratio Historical Data,Kennedy-Wilson Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.06,,6.26
2024-06-30,9.62,$1.77,5.45
2024-03-31,8.38,$3.47,2.42
2023-12-31,11.76,$1.55,7.58
2023-09-30,13.74,$1.30,10.58
2023-06-30,14.97,$0.98,15.22
2023-03-31,14.99,$-0.22,0.0
2022-12-31,14.01,$-1.52,0.0
2022-09-30,13.56,$-3.44,0.0
2022-06-30,16.35,$-4.66,0.0
2022-03-31,20.79,$-6.18,0.0
2021-12-31,20.16,$-5.82,0.0
2021-09-30,17.49,$-1.08,0.0
2021-06-30,16.44,$-0.68,0.0
2021-03-31,16.54,$3.56,4.64
2020-12-31,14.48,$3.94,3.67
2020-09-30,11.61,$2.27,5.12
2020-06-30,11.99,$1.28,9.38
2020-03-31,10.42,$2.07,5.04
2019-12-31,17.04,$2.00,8.53
2019-09-30,16.58,$1.28,13.0
2019-06-30,15.41,$9.48,1.63
2019-03-31,15.86,$6.79,2.34
2018-12-31,13.34,$6.63,2.01
2018-09-30,15.61,$5.86,2.66
2018-06-30,15.22,$-2.64,0.0
2018-03-31,12.41,$-0.97,0.0
2017-12-31,12.24,$-0.54,0.0
2017-09-30,12.94,$0.38,34.41
2017-06-30,13.17,$1.43,9.2
2017-03-31,15.21,$-2.11,0.0
2016-12-31,13.94,$-2.81,0.0
2016-09-30,15.23,$-0.79,0.0
2016-06-30,12.72,$-5.77,0.0
2016-03-31,14.58,$-3.23,0.0
2015-12-31,15.93,$-10.29,0.0
2015-09-30,14.59,$-17.30,0.0
2015-06-30,16.1,$-17.03,0.0
2015-03-31,17.04,$-24.02,0.0
2014-12-31,16.41,$-20.36,0.0
2014-09-30,15.49,$-16.23,0.0
2014-06-30,17.27,$-11.92,0.0
2014-03-31,14.45,$-5.58,0.0
2013-12-31,14.22,$-1.81,0.0
2013-09-30,11.83,$-3.30,0.0
2013-06-30,10.56,$-3.66,0.0
2013-03-31,9.81,$-1.74,0.0
2012-12-31,8.8,$-1.51,0.0
2012-09-30,8.76,$0.48,18.13
2012-06-30,8.75,$0.93,9.37
2012-03-31,8.4,$0.06,146.64
2011-12-31,6.56,$0.18,35.67
2011-09-30,6.55,$-0.42,0.0
2011-06-30,7.54,$-0.61,0.0
2011-03-31,6.66,$-0.76,0.0
2010-12-31,6.13,$-0.55,0.0
2010-09-30,6.5,$-0.69,0.0
2010-06-30,6.2,$-1.11,0.0
2010-03-31,6.23,$-2.15,0.0
2009-12-31,5.49,$-2.27,0.0
