Stride Price to Free Cash Flow Ratio Historical Data,Stride Price to Free Cash Flow Ratio Historical Data,Stride Price to Free Cash Flow Ratio Historical Data,Stride Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.66,,13.16
2024-06-30,70.5,$4.99,14.13
2024-03-31,63.05,$3.26,19.32
2023-12-31,59.37,$3.70,16.03
2023-09-30,45.03,$3.48,12.95
2023-06-30,37.23,$3.16,11.77
2023-03-31,39.25,$3.79,10.34
2022-12-31,31.28,$3.93,7.95
2022-09-30,42.03,$3.07,13.71
2022-06-30,40.79,$3.28,12.43
2022-03-31,36.33,$3.32,10.94
2021-12-31,33.33,$3.49,9.54
2021-09-30,35.94,$1.35,26.56
2021-06-30,32.13,$1.96,16.38
2021-03-31,30.11,$1.13,26.73
2020-12-31,21.23,$-0.45,0.0
2020-09-30,26.34,$0.50,52.7
2020-06-30,27.24,$0.87,31.27
2020-03-31,18.86,$0.58,32.51
2019-12-31,20.35,$1.15,17.62
2019-09-30,26.4,$-1.89,0.0
2019-06-30,30.41,$1.75,17.42
2019-03-31,34.13,$1.49,22.87
2018-12-31,24.79,$1.83,13.54
2018-06-30,16.37,$1.53,10.69
2018-03-31,14.18,$1.46,9.71
2017-12-31,15.9,$0.77,20.65
2017-09-30,17.84,$1.09,16.42
2017-06-30,17.92,$1.03,17.44
2017-03-31,19.15,$1.11,17.31
2016-12-31,17.16,$1.51,11.38
2016-09-30,14.35,$0.58,24.54
2016-06-30,12.49,$1.52,8.24
2016-03-31,9.89,$2.05,4.81
2015-12-31,8.8,$1.86,4.74
2015-09-30,12.44,$1.75,7.1
2015-06-30,12.65,$1.55,8.16
2015-03-31,15.72,$0.74,21.24
2014-12-31,11.87,$1.30,9.11
2014-09-30,15.96,$1.09,14.65
2014-06-30,24.07,$1.87,12.85
2014-03-31,22.65,$1.65,13.69
2013-12-31,21.75,$0.88,24.75
2013-09-30,30.88,$1.59,19.38
2013-06-30,26.27,$1.13,23.27
2013-03-31,24.11,$-1.12,0.0
2012-12-31,20.44,$-0.68,0.0
2012-09-30,20.2,$-1.91,0.0
2018-09-30,17.7,$-0.93,0.0
2012-06-30,23.3,$-0.40,0.0
2012-03-31,23.63,$-0.57,0.0
2011-12-31,17.94,$-0.15,0.0
2011-09-30,25.46,$-0.11,0.0
2011-06-30,33.14,$0.56,58.68
2011-03-31,33.7,$0.28,120.66
2010-12-31,28.66,$0.64,44.96
2010-09-30,29.03,$0.79,36.79
2010-06-30,22.18,$1.01,22.06
2010-03-31,22.21,$0.33,68.09
2009-12-31,20.27,$-1.31,0.0
