Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data,Philip Morris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,123.29,,18.93
2024-06-30,101.33,$6.51,15.56
2024-03-31,90.44,$5.76,15.71
2023-12-31,91.6,$5.08,18.05
2023-09-30,88.88,$4.92,18.08
2023-06-30,92.4,$4.77,19.36
2023-03-31,90.85,$4.90,18.54
2022-12-31,93.26,$6.27,14.88
2022-09-30,75.54,$6.90,10.95
2022-06-30,88.56,$7.47,11.85
2022-03-31,83.2,$7.61,10.94
2021-12-31,83.0,$7.20,11.53
2021-09-30,81.72,$6.73,12.14
2021-06-30,84.37,$6.57,12.84
2021-03-31,74.64,$5.47,13.64
2020-12-31,68.71,$5.91,11.62
2020-09-30,61.34,$6.01,10.21
2020-06-30,56.41,$5.00,11.28
2020-03-31,57.81,$5.95,9.71
2019-12-31,66.16,$5.94,11.14
2019-09-30,58.24,$5.24,11.11
2019-06-30,59.26,$4.90,12.09
2019-03-31,65.74,$5.11,12.87
2018-12-31,49.02,$5.17,9.48
2018-09-30,58.94,$5.36,11.0
2018-06-30,57.54,$5.44,10.58
2018-03-31,69.83,$5.04,13.85
2017-12-31,73.42,$4.74,15.48
2017-09-30,76.36,$4.32,17.68
2017-06-30,80.03,$5.19,15.41
2017-03-31,76.27,$4.65,16.39
2016-12-31,61.24,$4.45,13.76
2016-09-30,64.34,$4.35,14.8
2016-06-30,66.62,$4.11,16.2
2016-03-31,63.61,$4.98,12.76
2015-12-31,56.4,$4.46,12.65
2015-09-30,50.31,$4.09,12.31
2015-06-30,50.19,$4.22,11.91
2015-03-31,46.59,$3.54,13.15
2014-12-31,49.73,$4.21,11.83
2014-09-30,50.32,$4.75,10.59
2014-06-30,50.26,$4.92,10.21
2014-03-31,48.3,$5.12,9.44
2013-12-31,50.81,$5.51,9.22
2013-09-30,49.94,$5.09,9.82
2013-06-30,49.43,$4.50,10.98
2013-03-31,52.39,$4.65,11.26
2012-12-31,46.83,$4.94,9.47
2012-09-30,49.85,$4.51,11.05
2012-06-30,47.91,$4.87,9.85
2012-03-31,48.21,$5.19,9.29
2011-12-31,42.33,$5.47,7.74
2011-09-30,33.31,$5.85,5.69
2011-06-30,35.23,$5.45,6.47
2011-03-31,34.31,$5.01,6.85
2010-12-31,30.29,$4.74,6.4
2010-09-30,28.68,$4.68,6.12
2010-06-30,23.2,$4.28,5.42
2010-03-31,26.06,$4.01,6.5
2009-12-31,23.81,$3.68,6.48
