Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data,Orix Corp Ads Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,110.42,,87.4
2024-03-31,110.2,$1.26,87.22
2023-12-31,93.39,$0.03,2909.35
2023-09-30,93.88,$-0.67,0.0
2023-06-30,89.82,$-0.87,0.0
2023-03-31,80.83,$-5.23,0.0
2022-12-31,77.83,$-7.80,0.0
2022-09-30,68.31,$-5.45,0.0
2022-06-30,79.62,$-2.69,0.0
2022-03-31,94.46,$6.87,13.74
2021-12-31,94.88,$12.84,7.39
2021-09-30,88.11,$11.97,7.36
2021-06-30,77.78,$13.55,5.74
2021-03-31,77.9,$12.97,6.0
2020-12-31,69.48,$12.00,5.79
2020-09-30,56.22,$5.88,9.56
2020-06-30,53.97,$4.15,13.02
2020-03-31,51.78,$1.79,28.99
2019-12-31,70.94,$-3.08,0.0
2019-09-30,63.92,$-3.70,0.0
2019-06-30,62.38,$-13.72,0.0
2019-03-31,59.87,$-16.60,0.0
2018-12-31,57.9,$-18.47,0.0
2018-09-30,65.57,$-12.05,0.0
2018-06-30,63.94,$-12.02,0.0
2017-12-31,67.25,$-11.84,0.0
2017-09-30,64.21,$-9.61,0.0
2017-03-31,58.1,$-14.43,0.0
2016-12-31,59.78,$-14.13,0.0
2016-09-30,56.96,$-13.29,0.0
2016-06-30,48.43,$-14.40,0.0
2016-03-31,54.1,$-18.12,0.0
2015-12-31,52.45,$-13.19,0.0
2015-09-30,48.48,$-9.15,0.0
2015-06-30,54.88,$-6.51,0.0
2015-03-31,51.8,0,0.0
2014-12-31,46.05,$0.93,49.56
2014-09-30,50.81,$0.72,70.3
2014-06-30,61.15,$0.13,488.05
2014-03-31,51.9,$-0.00,0.0
2013-12-31,65.62,$11.79,5.56
2013-09-30,60.25,$8.10,7.44
2013-06-30,50.32,$4.59,10.95
2013-03-31,46.82,0,0.0
2012-12-31,41.32,$1.43,28.8
2012-09-30,36.56,$-19.00,0.0
2012-06-30,33.96,$0.30,113.32
2012-03-31,35.2,$-0.00,0.0
2011-12-31,29.6,$0.15,193.48
2011-09-30,27.95,$18.45,1.51
2011-06-30,35.24,$-1.55,0.0
2011-03-31,33.61,$0.00,0.0
2010-12-31,34.78,$-6.23,0.0
2010-09-30,27.44,$-7.28,0.0
2010-06-30,25.76,$1.03,24.91
2010-03-31,31.53,0,0.0
2009-12-31,24.22,$-7.62,0.0
