ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data,ONE Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.48,,0.0
2024-06-30,63.22,$-4.35,0.0
2024-03-31,63.24,$-1.84,0.0
2023-12-31,61.78,$4.89,12.64
2023-09-30,65.5,$3.00,21.84
2023-06-30,73.04,$24.66,2.96
2023-03-31,74.73,$23.50,3.18
2022-12-31,70.84,$17.69,4.0
2022-09-30,65.36,$18.62,3.51
2022-06-30,74.82,$-3.67,0.0
2022-03-31,80.73,$-5.09,0.0
2021-12-31,70.43,$-37.84,0.0
2021-09-30,57.02,$-37.03,0.0
2021-06-30,66.17,$-36.33,0.0
2021-03-31,68.14,$-36.16,0.0
2020-12-31,67.48,$-2.00,0.0
2020-09-30,60.24,$-2.13,0.0
2020-06-30,66.78,$-2.26,0.0
2020-03-31,71.97,$-1.44,0.0
2019-12-31,80.08,$-2.01,0.0
2019-09-30,81.78,$-1.91,0.0
2019-06-30,76.41,$-1.79,0.0
2019-03-31,74.91,$-0.47,0.0
2018-12-31,66.58,$1.38,48.2
2018-09-30,68.44,$0.02,3404.74
2018-06-30,61.79,$-0.05,0.0
2018-03-31,54.24,$-1.08,0.0
2017-12-31,59.77,$-1.94,0.0
2017-09-30,59.75,$-0.46,0.0
2017-06-30,56.32,$-0.48,0.0
2017-03-31,54.2,$-0.76,0.0
2016-12-31,50.95,$-0.35,0.0
2016-09-30,48.98,$0.43,115.05
2016-06-30,52.45,$0.56,94.01
2016-03-31,47.84,$0.79,60.62
2015-12-31,39.06,$2.13,18.31
2015-09-30,35.07,$1.39,25.19
2015-06-30,32.7,$0.95,34.26
2015-03-31,32.98,$0.31,104.8
2014-12-31,31.22,$-0.95,0.0
