First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data,First Busey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.25,,10.14
2024-06-30,24.0,$2.59,9.27
2024-03-31,23.58,$2.86,8.24
2023-12-31,24.08,$2.99,8.05
2023-09-30,18.42,$3.05,6.04
2023-06-30,19.06,$3.13,6.09
2023-03-31,19.05,$2.95,6.46
2022-12-31,22.92,$2.95,7.78
2022-09-30,20.18,$3.19,6.32
2022-06-30,20.78,$2.78,7.47
2022-03-31,22.83,$2.90,7.87
2021-12-31,24.23,$2.93,8.26
2021-09-30,21.81,$2.95,7.39
2021-06-30,21.62,$3.43,6.31
2021-03-31,22.28,$3.40,6.55
2020-12-31,18.53,$2.91,6.36
2020-09-30,13.5,$2.43,5.57
2020-06-30,15.65,$1.77,8.86
2020-03-31,14.17,$1.02,13.83
2019-12-31,22.59,$1.37,16.49
2019-09-30,20.59,$1.86,11.05
2019-06-30,21.34,$2.35,9.07
2019-03-31,19.56,$2.73,7.16
2018-12-31,19.51,$3.89,5.02
2018-09-30,24.52,$4.67,5.25
2018-06-30,24.89,$4.33,5.75
2018-03-31,23.17,$2.63,8.81
2017-12-31,23.2,$5.58,4.16
2017-09-30,24.16,$3.88,6.22
2017-06-30,22.45,$4.32,5.19
2017-03-31,22.37,$3.79,5.9
2016-12-31,23.28,$-0.77,0.0
2016-09-30,16.97,$-0.21,0.0
2016-06-30,15.94,$-0.25,0.0
2016-03-31,15.14,$2.08,7.27
2015-12-31,15.12,$1.98,7.62
2015-09-30,14.43,$1.95,7.39
2015-06-30,14.21,$2.00,7.12
2015-03-31,14.36,$1.76,8.18
2014-12-31,13.86,$2.21,6.26
2014-09-30,11.76,$2.20,5.33
2014-06-30,12.16,$2.77,4.39
2014-03-31,12.03,$3.15,3.82
2013-12-31,11.95,$3.39,3.52
2013-09-30,10.65,$2.82,3.78
2013-06-30,9.12,$2.22,4.11
2013-03-31,9.18,$2.11,4.36
2012-12-31,9.34,$1.40,6.66
2012-09-30,9.56,$2.81,3.41
2012-06-30,9.37,$2.21,4.25
2012-03-31,9.5,$2.23,4.27
2011-12-31,9.56,$4.02,2.38
2011-09-30,8.25,$4.72,1.75
2011-06-30,9.96,$4.83,2.06
2011-03-31,9.49,$4.77,1.99
2010-12-31,8.71,$3.88,2.24
2010-09-30,8.36,$1.86,4.5
2010-06-30,8.25,$4.13,2.0
2010-03-31,7.99,$7.43,1.07
2009-12-31,6.95,$3.43,2.03
