Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data,Unum Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.21,,10.03
2024-06-30,50.71,$6.40,7.92
2024-03-31,52.86,$6.19,8.54
2023-12-31,44.21,$5.40,8.18
2023-09-30,47.73,$5.51,8.67
2023-06-30,45.94,$4.92,9.35
2023-03-31,37.8,$5.63,6.71
2022-12-31,38.89,$6.51,5.97
2022-09-30,36.51,$7.13,5.12
2022-06-30,31.68,$7.82,4.05
2022-03-31,29.07,$8.83,3.29
2021-12-31,22.4,$6.23,3.59
2021-09-30,22.6,$-0.04,0.0
2021-06-30,25.33,$-0.02,0.0
2021-03-31,24.58,$-0.27,0.0
2020-12-31,20.03,$1.72,11.65
2020-09-30,14.45,$7.20,2.01
2020-06-30,14.01,$6.58,2.13
2020-03-31,12.45,$5.55,2.24
2019-12-31,23.93,$6.94,3.45
2019-09-30,24.15,$7.34,3.29
2019-06-30,27.03,$7.61,3.55
2019-03-31,27.06,$7.39,3.66
2018-12-31,23.33,$6.33,3.69
2018-09-30,31.02,$5.58,5.56
2018-06-30,29.17,$4.90,5.95
2018-03-31,37.37,$4.65,8.04
2017-12-31,42.91,$4.66,9.21
2017-09-30,39.8,$5.02,7.93
2017-06-30,36.12,$4.84,7.47
2017-03-31,36.17,$4.47,8.09
2016-12-31,33.74,$4.39,7.68
2016-09-30,26.97,$4.02,6.72
2016-06-30,24.13,$4.30,5.62
2016-03-31,23.35,$4.50,5.19
2015-12-31,24.97,$4.81,5.19
2015-09-30,23.93,$4.72,5.07
2015-06-30,26.54,$4.44,5.98
2015-03-31,24.92,$4.56,5.46
2014-12-31,25.63,$4.32,5.93
2014-09-30,25.14,$4.16,6.04
2014-06-30,25.3,$4.39,5.76
2014-03-31,25.59,$3.72,6.87
2013-12-31,25.31,$3.48,7.27
2013-09-30,21.86,$3.78,5.78
2013-06-30,21.0,$3.81,5.51
2013-03-31,20.1,$4.37,4.6
2012-12-31,14.73,$4.52,3.26
2012-09-30,13.51,$4.40,3.07
2012-06-30,13.36,$4.00,3.34
2012-03-31,17.02,$3.78,4.5
2011-12-31,14.58,$3.61,4.04
2011-09-30,14.44,$3.48,4.15
2011-06-30,17.48,$3.65,4.79
2011-03-31,17.94,$3.77,4.76
2010-12-31,16.5,$3.66,4.51
2010-09-30,15.03,$3.97,3.78
2010-06-30,14.66,$3.90,3.76
2010-03-31,16.68,$3.69,4.52
2009-12-31,13.09,$3.72,3.52
