VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data,VSE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.8,,0.0
2024-06-30,88.18,$-3.63,0.0
2024-03-31,79.81,$-4.31,0.0
2023-12-31,64.34,$-2.85,0.0
2023-09-30,50.14,$-3.37,0.0
2023-06-30,54.26,$-3.97,0.0
2023-03-31,44.46,$-2.71,0.0
2022-12-31,46.34,$-0.25,0.0
2022-09-30,34.92,$-0.16,0.0
2022-06-30,36.96,$0.65,57.14
2022-03-31,45.22,$-0.58,0.0
2021-12-31,59.67,$-2.22,0.0
2021-09-30,47.09,$-3.03,0.0
2021-06-30,48.32,$-3.67,0.0
2021-03-31,38.47,$-0.82,0.0
2020-12-31,37.4,$3.10,12.06
2020-09-30,29.69,$3.04,9.77
2020-06-30,30.32,$3.08,9.84
2020-03-31,15.76,$1.48,10.67
2019-12-31,36.48,$0.76,48.15
2019-09-30,32.62,$2.25,14.53
2019-06-30,27.35,$1.75,15.66
2019-03-31,30.03,$0.37,81.16
2018-12-31,28.44,$1.45,19.61
2018-09-30,31.42,$0.97,32.51
2018-06-30,45.24,$2.19,20.68
2018-03-31,48.91,$5.46,8.95
2017-12-31,45.73,$4.36,10.48
2017-09-30,53.61,$5.12,10.47
2017-06-30,42.34,$4.43,9.55
2017-03-31,38.35,$2.50,15.37
2016-12-31,36.45,$3.77,9.68
2016-09-30,31.83,$3.66,8.69
2016-06-30,31.26,$3.66,8.55
2016-03-31,31.72,$4.19,7.56
2015-12-31,28.99,$2.55,11.37
2015-09-30,18.65,$1.88,9.91
2015-06-30,24.85,$1.97,12.63
2015-03-31,37.97,$2.75,13.8
2014-12-31,30.52,$4.31,7.08
2014-09-30,22.66,$4.92,4.61
2014-06-30,32.46,$5.10,6.37
2014-03-31,24.29,$4.82,5.04
2013-12-31,22.08,$4.88,4.52
2013-09-30,21.55,$4.31,5.01
2013-06-30,18.82,$4.68,4.02
2013-03-31,11.42,$5.12,2.23
2012-12-31,11.16,$3.67,3.04
2012-09-30,11.12,$2.88,3.86
2012-06-30,10.76,$3.76,2.86
2012-03-31,11.18,$2.60,4.31
2011-12-31,10.92,$2.66,4.1
2011-09-30,11.6,$3.20,3.63
2011-06-30,11.13,$1.04,10.68
2011-03-31,13.25,$1.64,8.08
2010-12-31,14.7,$1.26,11.66
2010-09-30,15.67,$0.94,16.65
2010-06-30,14.11,$1.12,12.56
2010-03-31,18.24,$2.38,7.67
2009-12-31,19.95,$1.53,13.04
