Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data,Amphenol Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,67.45,,36.5
2024-06-30,67.37,$1.85,36.46
2024-03-31,57.58,$1.79,32.14
2023-12-31,49.39,$1.74,28.38
2023-09-30,41.75,$1.63,25.56
2023-06-30,42.13,$1.57,26.84
2023-03-31,40.42,$0.85,47.46
2022-12-31,37.56,$0.81,46.42
2022-09-30,32.94,$0.53,61.78
2022-06-30,31.58,$0.39,80.7
2021-12-31,42.66,$0.95,45.09
2021-09-30,35.63,$1.50,23.79
2021-06-30,33.22,$1.50,22.12
2021-03-31,31.97,$1.54,20.81
2020-12-31,31.61,$1.59,19.87
2022-03-31,36.85,$1.00,37.01
2020-09-30,26.12,$1.06,24.67
2020-06-30,23.06,$1.08,21.38
2020-03-31,17.49,$1.03,16.99
2019-12-31,25.88,$0.99,26.25
2019-09-30,23.02,$0.93,24.88
2019-06-30,22.83,$0.86,26.62
2019-03-31,22.42,$0.81,27.79
2018-12-31,19.19,$0.65,29.72
2018-09-30,22.2,$0.71,31.42
2018-06-30,20.53,$0.61,33.82
2018-03-31,20.24,$0.64,31.7
2017-12-31,20.59,$0.73,28.28
2017-09-30,19.81,$0.68,29.04
2017-06-30,17.24,$0.76,22.65
2017-03-31,16.58,$0.73,22.57
2016-12-31,15.62,$0.71,22.03
2016-09-30,15.06,$0.69,21.67
2016-06-30,13.27,$0.70,19.06
2016-03-31,13.35,$0.69,19.29
2015-12-31,12.03,$0.68,17.56
2015-09-30,11.7,$0.64,18.22
2015-06-30,13.28,$0.58,22.89
2015-03-31,13.47,$0.53,25.42
2014-12-31,12.27,$0.53,23.21
2014-09-30,11.36,$0.47,24.12
2014-06-30,10.93,$0.46,23.62
2014-03-31,10.38,$0.47,21.96
2013-12-31,10.08,$0.47,21.29
2013-09-30,8.72,$0.48,18.03
2013-06-30,8.76,$0.47,18.61
2013-03-31,8.38,$0.43,19.28
2012-12-31,7.26,$0.42,17.29
2012-09-30,6.59,$0.39,17.05
2012-06-30,6.14,$0.40,15.34
2012-03-31,6.67,$0.39,17.28
2011-12-31,5.05,$0.34,14.68
2011-09-30,4.54,$0.33,13.63
2011-06-30,6.01,$0.28,21.54
2011-03-31,6.05,$0.27,22.02
2010-12-31,5.87,$0.22,26.1
2010-09-30,5.44,$0.23,23.18
2010-06-30,4.37,$0.26,16.87
2010-03-31,4.69,$0.29,15.93
2009-12-31,5.13,$0.38,13.66
