T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data,T-Mobile US Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,198.72,,47.23
2024-06-30,175.61,$4.21,41.74
2023-12-31,158.58,$7.30,21.73
2023-09-30,137.93,$4.84,28.47
2023-06-30,136.8,$4.43,30.9
2023-03-31,142.65,$3.69,38.61
2022-12-31,137.88,$3.35,41.22
2024-03-31,162.09,$3.54,45.76
2022-09-30,132.14,$1.53,86.3
2022-06-30,132.5,$1.36,97.52
2022-03-31,126.41,$1.26,100.64
2021-12-31,114.22,$1.27,90.08
2021-09-30,125.83,$0.79,159.62
2021-06-30,142.64,$0.02,6792.24
2021-03-31,123.39,$-1.53,0.0
2020-12-31,132.81,$-2.07,0.0
2020-09-30,112.63,$-1.21,0.0
2020-06-30,102.57,$-0.60,0.0
2020-03-31,82.63,$0.97,84.99
2019-12-31,77.23,$0.50,154.0
2019-09-30,77.58,$-0.20,0.0
2019-06-30,73.02,$-0.99,0.0
2019-03-31,68.05,$-1.85,0.0
2018-12-31,62.65,$-1.91,0.0
2018-09-30,69.12,$-1.72,0.0
2018-06-30,58.85,$-1.41,0.0
2018-03-31,60.12,$-1.25,0.0
2017-12-31,62.55,$-1.61,0.0
2017-09-30,60.73,$-4.69,0.0
2017-06-30,59.7,$-3.77,0.0
2017-03-31,63.61,$-3.01,0.0
2016-12-31,56.64,$-2.31,0.0
2016-09-30,46.01,$1.80,25.5
2016-06-30,42.61,$1.61,26.52
2016-03-31,37.72,$1.09,34.68
2015-12-31,38.53,$0.84,45.93
2015-09-30,39.21,$-0.11,0.0
2015-06-30,38.18,$-0.85,0.0
2015-03-31,31.21,$-0.70,0.0
2014-12-31,26.53,$-0.30,0.0
2014-03-31,32.53,$-0.63,0.0
2013-12-31,33.13,$-0.71,0.0
2013-09-30,25.58,$1.33,19.17
2013-06-30,24.43,$-0.05,0.0
2013-03-31,14.41,$0.41,35.54
2012-12-31,13.14,$1.96,6.71
2014-09-30,28.43,$-0.28,0.0
2012-09-30,15.48,$14.17,1.09
2012-06-30,8.0,$13.89,0.58
2012-03-31,11.92,$13.04,0.91
2011-12-31,11.47,$12.80,0.9
2011-09-30,11.51,$0.18,64.64
2011-06-30,22.75,$1.37,16.58
2011-03-31,21.46,$0.53,40.51
2010-12-31,16.69,$1.35,12.33
2010-09-30,13.82,$0.57,24.29
2010-06-30,10.82,$0.12,92.44
2010-03-31,9.36,$0.68,13.75
2009-12-31,10.08,$0.22,45.0
2009-09-30,12.37,$0.58,21.34
