Air Transport Services Price to Free Cash Flow Ratio Historical Data,Air Transport Services Price to Free Cash Flow Ratio Historical Data,Air Transport Services Price to Free Cash Flow Ratio Historical Data,Air Transport Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.52,,82.64
2024-06-30,13.87,$0.20,69.38
2024-03-31,13.76,$-1.18,0.0
2023-12-31,17.61,$-1.46,0.0
2023-09-30,20.87,$-1.35,0.0
2023-06-30,18.87,$-0.69,0.0
2023-03-31,20.83,$-1.37,0.0
2022-12-31,25.98,$-1.26,0.0
2022-09-30,24.09,$0.70,34.21
2022-06-30,28.73,$0.69,41.42
2022-03-31,33.45,$1.50,22.32
2021-12-31,29.38,$1.29,22.79
2021-09-30,25.81,$-0.14,0.0
2021-06-30,23.23,$0.68,34.23
2021-03-31,29.26,$1.09,26.87
2020-12-31,31.34,$0.71,43.89
2020-09-30,25.06,$0.77,32.6
2020-06-30,22.27,$-0.39,0.0
2019-12-31,23.46,$-0.66,0.0
2019-09-30,21.02,$-0.00,0.0
2019-06-30,24.4,$0.08,295.04
2019-03-31,23.05,$0.48,48.06
2018-12-31,22.81,$0.33,68.75
2018-09-30,21.47,$-0.50,0.0
2018-06-30,22.59,$-0.25,0.0
2018-03-31,23.32,$-0.92,0.0
2017-12-31,23.14,$-0.75,0.0
2017-09-30,24.34,$-0.80,0.0
2020-03-31,18.28,$-1.28,0.0
2017-06-30,21.78,$-0.85,0.0
2017-03-31,16.05,$-1.90,0.0
2016-12-31,15.96,$-1.32,0.0
2016-09-30,14.35,$-0.97,0.0
2016-06-30,12.96,$-0.37,0.0
2015-12-31,10.08,$0.36,28.38
2015-09-30,8.55,$0.73,11.69
2015-06-30,10.49,$0.45,23.08
2015-03-31,9.22,$0.31,29.81
2014-12-31,8.56,$0.63,13.57
2014-09-30,7.28,$0.54,13.4
2014-06-30,8.37,$0.67,12.5
2014-03-31,7.85,$0.01,0.0
2013-12-31,8.09,$-0.18,0.0
2013-09-30,7.49,$-0.88,0.0
2016-03-31,15.38,$-1.11,0.0
2013-06-30,6.61,$-0.93,0.0
2013-03-31,5.83,$-1.01,0.0
2012-12-31,4.01,$-0.60,0.0
2012-09-30,4.41,$-0.43,0.0
2012-06-30,5.2,$-0.69,0.0
2012-03-31,5.79,$-1.08,0.0
2011-12-31,4.72,$-1.03,0.0
2011-09-30,4.33,$-0.70,0.0
2011-06-30,6.85,$-0.35,0.0
2011-03-31,8.45,$0.00,0.0
2010-12-31,7.9,$0.52,15.07
2010-09-30,6.09,$0.41,15.03
2010-06-30,4.76,$0.36,13.31
2010-03-31,3.35,$0.40,8.46
2009-12-31,2.64,$0.16,16.44
