U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data,U.S Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,47.23,,7.49
2024-06-30,39.7,$6.31,6.29
2024-03-31,44.16,$6.63,6.66
2023-12-31,42.28,$5.47,7.72
2023-09-30,31.94,$9.78,3.27
2023-06-30,31.45,$9.67,3.25
2023-03-31,33.82,$9.02,3.75
2022-12-31,40.37,$14.17,2.85
2022-09-30,36.92,$10.02,3.68
2022-06-30,41.65,$9.46,4.4
2022-03-31,47.62,$11.71,4.07
2021-12-31,49.91,$6.62,7.54
2021-09-30,52.39,$5.46,9.59
2021-06-30,49.83,$5.84,8.53
2021-03-31,48.03,$1.53,31.29
2020-12-31,40.15,$2.46,16.32
2020-09-30,30.62,$3.13,9.79
2020-06-30,31.08,$2.89,10.76
2020-03-31,28.74,$3.83,7.5
2019-12-31,48.9,$3.09,15.83
2019-09-30,45.32,$4.74,9.56
2019-06-30,42.59,$4.80,8.88
2019-03-31,38.89,$6.39,6.08
2018-12-31,36.6,$6.45,5.67
2018-09-30,41.95,$4.73,8.86
2018-06-30,39.46,$3.87,10.2
2018-03-31,39.6,$2.84,13.96
2017-12-31,41.76,$3.85,10.86
2017-09-30,41.54,$5.17,8.04
2017-06-30,40.02,$4.37,9.15
2017-03-31,39.48,$4.25,9.3
2016-12-31,39.17,$3.10,12.66
2016-09-30,32.53,$3.30,9.85
2016-06-30,30.39,$4.60,6.61
2016-03-31,30.39,$4.70,6.46
2015-12-31,31.74,$4.96,6.4
2015-09-30,30.33,$4.01,7.57
2015-06-30,31.9,$2.72,11.74
2015-03-31,31.91,$2.40,13.28
2014-12-31,32.66,$2.94,11.11
2014-09-30,30.23,$3.96,7.62
2014-06-30,31.13,$4.81,6.48
2014-03-31,30.62,$6.81,4.49
2013-12-31,28.71,$6.19,4.64
2013-09-30,25.85,$6.85,3.77
2013-06-30,25.38,$5.80,4.37
2013-03-31,23.67,$3.47,6.82
2012-12-31,22.16,$4.20,5.28
2012-09-30,23.65,$2.59,9.12
2012-06-30,22.05,$2.45,8.99
2012-03-31,21.58,$3.49,6.18
2011-12-31,18.32,$5.11,3.59
2011-09-30,15.87,$5.82,2.73
2011-06-30,17.1,$5.23,3.27
2011-03-31,17.63,$4.46,3.95
2010-12-31,17.91,$2.73,6.56
2010-09-30,14.33,$3.35,4.28
2010-06-30,14.78,$5.73,2.58
2010-03-31,17.07,$4.54,3.76
2009-12-31,14.82,$4.09,3.63
