Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data,Potlatch Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.41,,0.0
2024-03-31,46.06,$-0.25,0.0
2023-12-31,47.64,$0.47,101.85
2023-09-30,43.63,$4.52,9.66
2023-06-30,50.32,$0.61,82.8
2023-03-31,46.67,$0.40,115.73
2022-12-31,41.08,$1.15,35.7
2024-06-30,39.0,$0.57,68.04
2022-09-30,37.16,$4.52,8.22
2022-06-30,39.62,$8.17,4.85
2022-03-31,46.88,$9.40,4.99
2021-12-31,53.11,$8.27,6.42
2021-09-30,42.13,$9.41,4.48
2021-03-31,42.57,$6.11,6.96
2020-12-31,39.91,$4.28,9.32
2020-09-30,33.31,$-1.09,0.0
2020-06-30,29.81,$1.16,25.69
2020-03-31,24.34,$1.07,22.66
2019-12-31,33.21,$1.04,31.89
2021-06-30,43.06,$4.65,9.25
2019-09-30,31.24,$1.25,24.97
2019-06-30,29.36,$1.48,19.8
2019-03-31,28.14,$1.65,17.01
2018-12-31,23.29,$2.05,11.35
2018-09-30,30.15,$2.45,12.29
2018-06-30,36.24,$2.38,15.23
2018-03-31,36.81,$2.42,15.19
2017-12-31,35.01,$2.73,12.81
2017-09-30,35.51,$2.64,13.43
2017-06-30,31.57,$2.67,11.84
2017-03-31,31.31,$4.95,6.33
2016-12-31,28.3,$4.70,6.01
2016-09-30,26.2,$4.46,5.87
2016-06-30,22.73,$4.40,5.17
2016-03-31,20.77,$0.97,21.36
2015-12-31,19.67,$0.76,25.96
2015-09-30,18.49,$-8.58,0.0
2015-06-30,22.42,$-8.30,0.0
2015-03-31,25.16,$-7.37,0.0
2014-12-31,26.06,$-6.89,0.0
2014-09-30,24.8,$2.35,10.56
2014-06-30,25.32,$2.25,11.28
2014-03-31,23.46,$1.96,11.99
2013-12-31,25.08,$1.64,15.33
2013-09-30,23.64,$1.91,12.36
2013-06-30,23.9,$1.88,12.74
2013-03-31,26.92,$1.86,14.45
2012-12-31,22.82,$1.25,18.22
2012-09-30,21.61,$0.78,27.84
2012-06-30,18.32,$0.87,21.15
2012-03-31,17.78,$1.04,17.16
2011-12-31,17.47,$1.50,11.65
2011-09-30,17.52,$2.43,7.21
2011-06-30,19.3,$2.88,6.71
2011-03-31,21.67,$2.99,7.25
2010-12-31,17.31,$2.84,6.1
2010-09-30,17.8,$1.95,9.1
2010-06-30,18.42,$2.61,7.06
2010-03-31,17.8,$1.95,9.14
2009-12-31,15.95,$2.65,6.01
