Crocs Price to Free Cash Flow Ratio Historical Data,Crocs Price to Free Cash Flow Ratio Historical Data,Crocs Price to Free Cash Flow Ratio Historical Data,Crocs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,136.09,,9.51
2024-06-30,145.94,$14.31,10.2
2024-03-31,143.8,$12.72,11.3
2023-12-31,93.41,$13.15,7.1
2023-09-30,88.23,$13.55,6.51
2023-06-30,112.44,$12.05,9.33
2023-03-31,126.44,$9.55,13.24
2022-12-31,108.43,$8.05,13.47
2022-09-30,68.66,$5.50,12.49
2022-06-30,48.67,$5.05,9.63
2022-03-31,76.4,$5.91,12.93
2021-12-31,128.22,$8.02,15.98
2021-09-30,143.48,$6.48,22.13
2021-06-30,116.52,$6.46,18.04
2021-03-31,80.45,$5.07,15.86
2020-12-31,62.66,$3.28,19.1
2020-09-30,42.73,$2.01,21.22
2020-06-30,36.82,$0.97,37.99
2020-03-31,16.99,$0.28,60.12
2019-12-31,41.89,$0.75,55.68
2019-09-30,27.76,$0.97,28.52
2019-06-30,19.75,$1.02,19.41
2019-03-31,25.75,$1.21,21.37
2018-12-31,25.98,$1.52,17.09
2018-09-30,21.29,$1.38,15.37
2018-06-30,17.61,$1.34,13.11
2018-03-31,16.25,$1.27,12.81
2017-12-31,12.64,$1.20,10.53
2017-09-30,9.7,$0.95,10.17
2017-06-30,7.71,$0.50,15.55
2017-03-31,7.07,$-0.35,0.0
2016-12-31,6.86,$0.24,29.04
2016-09-30,8.3,$0.35,23.53
2016-06-30,11.28,$0.78,14.49
2015-12-31,10.24,$-0.12,0.0
2015-09-30,12.93,$0.53,24.54
2015-06-30,14.71,$-0.41,0.0
2015-03-31,11.81,$-0.84,0.0
2014-12-31,12.49,$0.21,58.61
2016-03-31,9.62,$-1.04,0.0
2014-09-30,12.58,$-0.46,0.0
2014-06-30,15.03,$-0.05,0.0
2014-03-31,15.6,$0.22,69.52
2013-12-31,15.92,$0.49,32.76
2013-09-30,13.6,$0.82,16.62
2013-06-30,16.5,$0.84,19.65
2013-03-31,14.82,$1.26,11.79
2012-12-31,14.39,$1.00,14.35
2012-09-30,16.21,$1.38,11.72
2012-06-30,16.15,$1.31,12.3
2012-03-31,20.92,$0.91,22.88
2011-12-31,14.77,$1.28,11.56
2011-09-30,23.68,$0.86,27.68
2011-06-30,25.75,$0.87,29.65
2011-03-31,17.84,$0.69,25.89
2010-12-31,17.12,$0.85,20.19
2010-09-30,13.0,$0.89,14.61
2010-06-30,10.58,$0.58,18.28
2010-03-31,8.78,$0.36,24.28
2009-12-31,5.75,$0.51,11.24
