Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data,Embotelladora Andina S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.98,,15.19
2024-06-30,17.2,$1.25,13.76
2024-03-31,14.9,$1.26,11.87
2023-12-31,14.91,$1.33,11.25
2023-09-30,12.95,$1.08,12.02
2023-06-30,15.58,$0.82,18.94
2023-03-31,15.55,$1.19,13.08
2022-12-31,14.51,$1.47,9.87
2022-09-30,10.13,$1.19,8.49
2022-06-30,11.12,$1.45,7.69
2022-03-31,13.61,$1.70,8.02
2021-12-31,12.89,$1.37,9.41
2021-09-30,12.95,$1.80,7.2
2021-06-30,14.5,$1.90,7.65
2021-03-31,15.4,$1.55,9.95
2020-12-31,14.46,$1.59,9.1
2020-09-30,12.36,$1.49,8.32
2020-06-30,14.23,$1.31,10.84
2020-03-31,11.35,$1.31,8.66
2019-12-31,15.93,$1.28,12.42
2019-09-30,18.06,$1.48,12.24
2019-06-30,19.17,$1.14,16.77
2019-03-31,19.09,$1.25,15.33
2018-12-31,19.96,$1.16,17.19
2018-09-30,19.86,$0.61,32.74
2018-06-30,19.76,$0.86,23.06
2018-03-31,24.9,$0.60,41.53
2017-12-31,24.73,$0.75,32.84
2017-09-30,23.11,$1.01,22.85
2017-06-30,21.15,$0.86,24.7
2017-03-31,19.33,$0.92,20.9
2016-12-31,18.41,$0.79,23.44
2016-09-30,18.38,$0.82,22.52
2016-06-30,17.12,$1.09,15.74
2016-03-31,15.27,$0.94,16.23
2015-12-31,13.8,$1.47,9.39
2015-09-30,16.34,$3.11,5.26
2015-06-30,15.58,$2.98,5.24
2015-03-31,11.68,$3.11,3.75
2014-12-31,13.11,$2.60,5.05
2014-09-30,14.67,$0.27,55.26
2014-06-30,17.21,$0.29,60.36
2014-03-31,16.01,$0.05,298.65
2013-09-30,24.26,$0.49,49.89
2013-06-30,25.38,$0.59,42.89
2013-03-31,29.32,$0.31,93.43
2012-12-31,27.83,$0.61,45.75
2012-09-30,24.92,$0.26,96.47
2012-06-30,23.44,$0.42,55.54
2012-03-31,24.07,$0.33,73.21
2011-12-31,18.57,$0.24,78.58
2011-09-30,17.42,$0.02,770.67
2011-06-30,20.11,$0.03,611.2
2011-03-31,20.3,$0.16,125.68
2010-12-31,20.88,$0.49,42.71
2010-09-30,19.67,$-0.53,0.0
2010-06-30,15.33,$-0.52,0.0
2010-03-31,13.61,$-0.18,0.0
2013-12-31,21.19,$-0.42,0.0
2009-12-31,13.56,$1.03,13.12
