Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data,Scorpio Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.24,,3.4
2024-06-30,80.86,$19.50,4.15
2024-03-31,70.79,$17.39,4.07
2023-12-31,59.81,$17.06,3.51
2023-09-30,52.9,$18.50,2.86
2023-06-30,45.93,$20.19,2.28
2023-03-31,54.46,$22.18,2.45
2022-12-31,51.82,$21.68,2.39
2022-09-30,40.43,$18.55,2.18
2022-06-30,33.11,$11.43,2.9
2022-03-31,20.44,$5.55,3.68
2021-12-31,12.18,$1.34,9.09
2021-09-30,17.49,$-0.23,0.0
2021-06-30,20.68,$5.12,4.04
2021-03-31,17.23,$6.69,2.58
2020-12-31,10.38,$7.44,1.4
2020-09-30,10.18,$7.14,1.43
2020-06-30,11.69,$0.33,35.49
2020-03-31,17.34,$-0.39,0.0
2019-12-31,35.51,$0.05,697.57
2019-09-30,26.78,$0.87,30.88
2019-06-30,26.48,$7.57,3.5
2019-03-31,17.73,$3.55,4.99
2018-12-31,15.73,$0.27,57.74
2018-09-30,17.96,$3.35,5.37
2017-12-31,26.91,$-4.14,0.0
2017-09-30,30.17,$-1.00,0.0
2017-06-30,34.82,$2.70,12.89
2017-03-31,38.85,$5.92,6.56
2016-12-31,39.55,$13.02,3.04
2016-09-30,39.29,$15.72,2.5
2016-06-30,34.73,$7.08,4.91
2016-03-31,47.2,$-10.35,0.0
2015-12-31,63.49,$-21.16,0.0
2015-09-30,71.58,$-43.99,0.0
2015-06-30,77.81,$-67.43,0.0
2015-03-31,71.68,$-67.31,0.0
2014-12-31,65.22,$-62.15,0.0
2014-09-30,61.49,$-94.61,0.0
2014-06-30,74.48,$-39.11,0.0
2014-03-31,72.28,$-35.59,0.0
2013-12-31,84.8,$-52.12,0.0
2013-09-30,69.77,$-5.97,0.0
2013-06-30,63.94,$-49.92,0.0
2013-03-31,63.3,$-39.91,0.0
2012-12-31,50.45,$-22.24,0.0
2012-09-30,42.58,$-30.92,0.0
2012-06-30,45.35,$-10.37,0.0
2012-03-31,50.1,$-46.28,0.0
2011-12-31,34.7,$-47.04,0.0
2011-09-30,37.47,$-84.97,0.0
2011-06-30,70.89,$-123.68,0.0
2011-03-31,73.23,$-163.13,0.0
2010-12-31,71.74,$-152.69,0.0
2010-09-30,80.12,$-99.53,0.0
2010-06-30,81.25,$-62.13,0.0
