Fabrinet Price to Free Cash Flow Ratio Historical Data,Fabrinet Price to Free Cash Flow Ratio Historical Data,Fabrinet Price to Free Cash Flow Ratio Historical Data,Fabrinet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,266.87,,26.49
2024-06-30,244.79,$10.07,24.3
2024-03-31,189.02,$9.58,19.73
2023-12-31,190.33,$7.65,24.87
2023-09-30,166.62,$6.43,25.93
2023-06-30,129.88,$4.13,31.48
2023-03-31,118.76,$2.73,43.46
2022-12-31,128.22,$2.98,42.96
2022-09-30,95.45,$2.18,43.72
2022-06-30,81.1,$0.93,86.84
2022-03-31,105.13,$1.68,62.63
2021-12-31,118.47,$1.69,70.2
2021-09-30,102.51,$1.56,65.59
2021-06-30,95.87,$2.03,47.26
2021-03-31,90.39,$2.07,43.68
2020-12-31,77.59,$2.40,32.34
2020-09-30,63.03,$3.61,17.48
2020-06-30,62.42,$2.92,21.38
2020-03-31,54.56,$3.06,17.82
2019-12-31,64.84,$2.88,22.49
2019-09-30,52.3,$2.57,20.33
2019-06-30,49.67,$3.46,14.37
2019-03-31,52.36,$3.60,14.54
2018-12-31,51.31,$3.93,13.06
2018-09-30,46.26,$3.91,11.84
2018-06-30,36.89,$2.75,13.4
2018-03-31,31.38,$1.61,19.49
2017-12-31,28.7,$1.14,25.22
2017-09-30,37.06,$0.46,81.18
2017-06-30,42.66,$0.08,556.19
2017-03-31,42.03,$0.06,736.08
2016-12-31,40.3,$-0.40,0.0
2016-09-30,44.59,$-0.40,0.0
2016-06-30,37.12,$0.18,205.31
2016-03-31,32.35,$0.32,102.47
2015-12-31,23.82,$-0.74,0.0
2015-09-30,18.33,$-0.54,0.0
2015-06-30,18.73,$0.04,527.61
2015-03-31,18.99,$0.06,295.33
2014-12-31,17.74,$1.35,13.11
2014-09-30,14.6,$1.49,9.8
2014-06-30,20.6,$1.57,13.15
2014-03-31,20.77,$1.30,15.95
2013-12-31,20.56,$1.67,12.34
2013-09-30,16.84,$1.52,11.09
2013-06-30,14.0,$1.09,12.84
2013-03-31,14.61,$1.02,14.38
2012-12-31,13.14,$0.18,73.12
2012-09-30,11.59,$-1.03,0.0
2012-06-30,12.55,$-0.97,0.0
2012-03-31,17.71,$-0.47,0.0
2011-12-31,13.68,$-0.10,0.0
2011-09-30,18.7,$0.94,19.97
2011-06-30,24.28,$0.56,43.73
2011-03-31,20.16,$0.50,40.38
