Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data,Synchrony Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,50.26,,2.18
2024-06-30,46.92,$23.10,2.03
2024-03-31,42.64,$21.48,1.98
2023-12-31,37.53,$20.29,1.85
2023-09-30,29.77,$18.55,1.6
2023-06-30,32.8,$16.30,2.01
2023-03-31,27.9,$15.47,1.8
2022-12-31,31.33,$13.85,2.26
2022-09-30,26.7,$13.76,1.94
2022-06-30,25.98,$13.32,1.95
2022-03-31,32.55,$12.03,2.71
2021-12-31,43.17,$12.47,3.46
2021-09-30,45.27,$12.45,3.64
2021-06-30,44.73,$11.61,3.85
2021-03-31,37.3,$13.27,2.81
2020-12-31,31.65,$12.67,2.5
2020-09-30,23.66,$12.53,1.89
2020-06-30,19.83,$13.85,1.43
2020-03-31,14.23,$12.65,1.13
2019-12-31,31.64,$13.35,2.37
2019-09-30,29.77,$13.41,2.22
2019-06-30,30.09,$16.22,1.86
2019-03-31,27.69,$15.74,1.76
2018-12-31,20.22,$15.51,1.3
2018-09-30,26.57,$15.91,1.67
2018-03-31,28.34,$11.40,2.49
2017-12-31,32.5,$10.72,3.03
2017-09-30,26.02,$10.17,2.56
2017-06-30,24.87,$6.04,4.12
2017-03-31,28.47,$6.09,4.68
2016-12-31,30.0,$6.04,4.97
2018-06-30,28.34,$5.38,5.27
2016-09-30,23.05,$8.03,2.87
2016-06-30,20.72,$7.39,2.8
2016-03-31,23.48,$7.20,3.26
2015-12-31,24.92,$7.40,3.37
2015-09-30,25.65,$6.70,3.83
2015-06-30,26.98,$10.62,2.54
