Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data,Intel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,22.04,,0.0
2024-06-30,30.77,$-2.94,0.0
2024-03-31,43.7,$-2.87,0.0
2023-12-31,49.58,$-3.39,0.0
2023-09-30,34.96,$-2.45,0.0
2023-06-30,32.77,$-4.00,0.0
2023-03-31,31.88,$-6.78,0.0
2022-12-31,25.47,$-5.11,0.0
2022-09-30,24.52,$-4.21,0.0
2022-06-30,35.23,$-1.49,0.0
2021-12-31,47.74,$2.23,21.39
2021-09-30,49.05,$7.53,6.52
2021-06-30,51.36,$6.50,7.9
2021-03-31,58.19,$6.40,9.1
2020-12-31,45.03,$7.98,5.65
2022-03-31,46.29,$3.90,11.87
2020-09-30,46.47,$4.73,9.82
2020-06-30,53.33,$3.24,16.47
2020-03-31,47.97,$2.04,23.55
2019-12-31,52.79,$2.47,21.4
2019-09-30,45.21,$1.94,23.34
2018-12-31,40.39,$3.03,13.32
2018-09-30,40.45,$3.07,13.17
2018-06-30,42.26,$2.66,15.92
2018-03-31,44.02,$2.44,18.02
2017-12-31,38.76,$2.14,18.14
2017-09-30,31.79,$2.43,13.06
2017-06-30,27.96,$2.42,11.54
2017-03-31,29.67,$0.51,58.31
2016-12-31,29.62,$0.74,40.19
2016-09-30,30.6,$0.72,42.32
2016-06-30,26.39,$0.39,67.53
2015-12-31,27.23,$2.39,11.4
2015-09-30,23.64,$3.25,7.28
2015-06-30,23.68,$2.87,8.26
2015-03-31,24.17,$3.18,7.6
2014-12-31,27.85,$3.21,8.69
2016-03-31,25.8,$1.88,13.72
2014-09-30,26.54,$1.93,13.74
2014-06-30,23.39,$1.84,12.71
2014-03-31,19.38,$1.72,11.28
2013-12-31,19.3,$1.97,9.77
2013-09-30,16.88,$2.05,8.24
2013-06-30,17.68,$1.93,9.17
2013-03-31,15.78,$1.94,8.14
2012-12-31,14.75,$1.52,9.68
2012-09-30,16.04,$1.53,10.51
2012-06-30,18.7,$1.77,10.54
2012-03-31,19.59,$1.65,11.84
2011-12-31,16.76,$1.88,8.89
2011-09-30,14.62,$1.85,7.92
2011-06-30,15.04,$1.55,9.72
2011-03-31,13.59,$1.69,8.03
2010-12-31,14.05,$2.02,6.97
2010-09-30,12.73,$1.30,9.82
2010-06-30,12.8,$1.39,9.23
2010-03-31,14.56,$1.51,9.67
2009-12-31,13.22,$1.38,9.58
2019-06-30,41.72,$1.25,33.27
2009-09-30,12.59,$1.13,11.14
