CSG Systems Price to Free Cash Flow Ratio Historical Data,CSG Systems Price to Free Cash Flow Ratio Historical Data,CSG Systems Price to Free Cash Flow Ratio Historical Data,CSG Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.07,,15.12
2024-06-30,40.91,$3.24,12.61
2024-03-31,50.84,$2.05,24.84
2023-12-31,52.18,$3.45,15.12
2023-09-30,49.86,$2.53,19.73
2023-06-30,51.16,$2.26,22.59
2023-03-31,51.81,$1.57,33.01
2022-12-31,54.89,$0.85,64.57
2022-09-30,50.5,$0.79,64.18
2022-06-30,56.72,$1.66,34.18
2022-03-31,60.14,$3.38,17.82
2021-12-31,54.29,$3.55,15.29
2021-09-30,45.2,$3.66,12.36
2021-06-30,44.01,$4.16,10.57
2021-03-31,41.65,$4.50,9.26
2020-12-31,41.38,$4.45,9.3
2020-09-30,37.4,$3.90,9.6
2020-06-30,37.57,$4.31,8.72
2020-03-31,37.79,$2.99,12.63
2019-12-31,46.5,$3.50,13.27
2019-09-30,46.23,$4.19,11.04
2019-06-30,43.5,$2.97,14.67
2019-03-31,37.49,$2.23,16.79
2018-12-31,28.01,$2.62,10.67
2018-09-30,35.17,$1.47,24.0
2018-06-30,35.61,$1.59,22.43
2018-03-31,39.27,$2.90,13.56
2017-12-31,37.82,$2.99,12.65
2017-09-30,34.46,$3.06,11.25
2017-06-30,34.69,$2.23,15.58
2017-03-31,32.17,$2.58,12.45
2016-12-31,40.97,$2.12,19.34
2016-09-30,34.84,$2.97,11.72
2016-06-30,33.84,$3.39,9.99
2016-03-31,37.74,$3.33,11.35
2015-12-31,29.93,$3.53,8.47
2015-09-30,25.49,$3.31,7.7
2015-06-30,26.05,$2.98,8.74
2015-03-31,24.87,$2.46,10.11
2014-12-31,20.4,$1.71,11.93
2014-09-30,21.25,$1.29,16.42
2014-06-30,20.99,$1.54,13.63
2014-03-31,20.81,$2.00,10.42
2013-12-31,23.37,$2.94,7.96
2013-09-30,19.81,$2.26,8.77
2013-06-30,17.01,$2.25,7.57
2013-03-31,16.55,$2.05,8.07
2012-12-31,14.2,$2.90,4.89
2012-09-30,17.56,$3.61,4.87
2012-06-30,13.5,$3.75,3.6
2012-03-31,11.82,$2.77,4.27
2011-12-31,11.49,$1.18,9.73
2011-09-30,9.87,$1.55,6.37
2011-06-30,14.43,$1.38,10.44
2011-03-31,15.57,$2.20,7.07
2010-12-31,14.79,$3.21,4.61
2010-09-30,14.24,$3.39,4.2
2010-06-30,14.32,$3.71,3.86
2010-03-31,16.4,$3.91,4.19
2009-12-31,14.91,$3.27,4.56
