Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data,Travel + Leisure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.33,,9.13
2024-06-30,44.46,$5.19,8.57
2024-03-31,47.84,$4.16,11.5
2023-12-31,37.8,$3.68,10.27
2023-09-30,35.13,$3.99,8.81
2023-06-30,38.14,$3.31,11.51
2023-03-31,36.67,$3.06,11.97
2022-12-31,33.64,$4.63,7.26
2022-09-30,31.2,$4.10,7.62
2022-06-30,35.16,$5.23,6.73
2022-03-31,52.0,$6.60,7.88
2021-12-31,49.23,$5.85,8.41
2021-09-30,48.23,$6.11,7.89
2021-06-30,52.3,$5.51,9.49
2021-03-31,53.55,$3.89,13.77
2020-12-31,39.09,$3.54,11.03
2020-09-30,26.61,$3.01,8.84
2020-06-30,24.17,$2.48,9.73
2020-03-31,18.33,$2.74,6.68
2019-12-31,42.97,$3.72,11.54
2019-09-30,37.92,$3.19,11.9
2019-06-30,35.83,$3.13,11.45
2019-03-31,32.7,$3.67,8.91
2018-12-31,28.64,$3.46,8.28
2018-09-30,34.27,$5.70,6.02
2018-06-30,34.65,$5.26,6.59
2018-03-31,40.09,$7.68,5.22
2017-12-31,40.36,$8.48,4.76
2017-09-30,36.53,$7.43,4.91
2017-06-30,34.59,$7.98,4.34
2017-03-31,28.86,$7.72,3.74
2016-12-31,25.97,$7.65,3.4
2016-09-30,22.74,$7.08,3.21
2016-06-30,23.89,$7.06,3.39
2016-03-31,25.45,$7.04,3.62
2015-12-31,24.03,$6.74,3.57
2015-09-30,23.65,$5.54,4.27
2015-06-30,26.79,$5.68,4.72
2015-03-31,29.45,$5.44,5.41
2014-12-31,27.78,$5.90,4.71
2014-09-30,26.22,$6.36,4.12
2014-06-30,24.32,$6.32,3.85
2014-03-31,23.41,$6.08,3.85
2013-12-31,23.45,$5.70,4.11
2013-09-30,19.24,$6.03,3.19
2013-06-30,17.97,$6.43,2.8
2013-03-31,20.15,$5.87,3.43
2012-12-31,16.55,$5.49,3.02
2012-09-30,16.25,$5.00,3.25
2012-06-30,16.26,$4.94,3.29
2012-03-31,14.27,$4.86,2.94
2011-12-31,11.55,$4.60,2.51
2011-09-30,8.67,$4.57,1.9
2011-06-30,10.17,$3.42,2.98
2011-03-31,9.58,$2.67,3.58
2010-12-31,8.98,$2.53,3.55
2010-09-30,8.2,$2.86,2.87
2010-06-30,5.98,$3.64,1.64
2010-03-31,7.6,$3.07,2.47
2009-12-31,5.92,$3.04,1.95
