Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data,Papa John's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.99,,24.5
2024-06-30,46.52,$2.24,20.73
2024-03-31,65.36,$2.93,22.3
2023-12-31,74.34,$3.62,20.56
2023-09-30,66.06,$2.63,25.13
2023-06-30,71.09,$2.50,28.49
2023-03-31,71.75,$1.34,53.66
2022-12-31,78.47,$1.10,71.1
2022-09-30,66.4,$-0.07,0.0
2022-06-30,78.86,$0.63,124.37
2022-03-31,98.98,$2.01,49.3
2021-12-31,125.12,$3.29,38.08
2021-09-30,118.73,$4.38,27.1
2021-06-30,97.38,$5.41,18.0
2021-03-31,82.45,$5.45,15.14
2020-12-31,78.75,$4.61,17.09
2020-09-30,76.15,$4.43,17.21
2020-06-30,73.32,$2.57,28.49
2020-03-31,49.14,$1.46,33.73
2019-12-31,57.94,$0.76,76.25
2019-09-30,47.86,$-0.09,0.0
2019-06-30,40.69,$0.40,101.59
2019-03-31,47.97,$0.91,52.85
2018-12-31,35.88,$1.56,22.98
2018-09-30,46.03,$2.65,17.35
2018-06-30,45.27,$2.59,17.45
2018-03-31,50.92,$2.21,23.06
2017-12-31,49.67,$2.26,22.02
2017-09-30,64.44,$2.27,28.38
2017-06-30,63.1,$2.31,27.32
2017-03-31,70.21,$2.77,25.38
2016-12-31,74.88,$2.52,29.74
2016-09-30,68.82,$3.16,21.79
2016-06-30,59.19,$3.24,18.26
2016-03-31,47.03,$3.10,15.19
2015-12-31,48.31,$3.29,14.7
2015-09-30,59.03,$2.97,19.87
2015-06-30,65.02,$2.63,24.75
2015-03-31,53.04,$2.22,23.93
2014-12-31,47.78,$1.77,26.94
2014-09-30,34.14,$1.46,23.37
2014-06-30,36.07,$1.33,27.11
2014-03-31,44.21,$1.14,38.7
2013-12-31,38.41,$1.14,33.58
2013-09-30,29.47,$0.67,43.81
2013-06-30,27.47,$0.74,37.07
2013-03-31,25.97,$0.89,29.32
2012-12-31,23.08,$1.29,17.87
2012-09-30,22.44,$1.53,14.64
2012-06-30,19.99,$1.67,11.99
2012-03-31,15.82,$1.76,8.98
2011-12-31,15.83,$1.42,11.18
2011-09-30,12.77,$1.75,7.32
2011-06-30,13.97,$1.42,9.87
2011-03-31,13.31,$1.27,10.44
2010-12-31,11.64,$1.16,10.03
2010-09-30,11.07,$0.90,12.24
2010-06-30,9.71,$1.09,8.91
2010-03-31,10.8,$1.09,9.95
2009-12-31,9.82,$1.26,7.79
