CTS Price to Free Cash Flow Ratio Historical Data,CTS Price to Free Cash Flow Ratio Historical Data,CTS Price to Free Cash Flow Ratio Historical Data,CTS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.35,,19.95
2024-06-30,50.59,$2.47,20.45
2024-03-31,46.71,$2.60,17.98
2023-12-31,43.63,$2.35,18.6
2023-09-30,41.6,$2.06,20.15
2023-06-30,42.45,$3.26,13.02
2023-03-31,49.2,$3.03,16.23
2022-12-31,39.18,$3.31,11.82
2022-09-30,41.35,$3.27,12.65
2022-06-30,33.78,$1.99,16.94
2022-03-31,35.01,$2.11,16.63
2021-12-31,36.34,$2.18,16.66
2021-09-30,30.56,$2.31,13.22
2021-06-30,36.69,$2.46,14.91
2021-03-31,30.63,$2.24,13.66
2020-12-31,33.82,$1.90,17.79
2020-09-30,21.67,$1.71,12.64
2020-06-30,19.68,$1.35,14.55
2020-03-31,24.39,$1.39,17.58
2019-12-31,29.36,$1.29,22.7
2019-09-30,31.61,$1.01,31.28
2019-06-30,26.91,$0.95,28.32
2019-03-31,28.62,$0.62,46.27
2018-12-31,25.19,$0.88,28.5
2018-09-30,33.32,$0.80,41.85
2018-06-30,34.93,$1.17,29.89
2018-03-31,26.36,$1.43,18.47
2017-12-31,24.92,$1.21,20.57
2017-09-30,23.29,$1.28,18.24
2017-06-30,20.84,$0.97,21.58
2017-03-31,20.51,$1.35,15.16
2016-12-31,21.53,$1.17,18.36
2016-09-30,17.85,$1.30,13.73
2016-06-30,17.16,$1.22,14.05
2016-03-31,15.04,$0.95,15.76
2015-12-31,16.81,$0.94,17.98
2015-09-30,17.6,$1.10,16.06
2015-06-30,18.28,$0.91,20.01
2015-03-31,17.03,$0.93,18.38
2014-12-31,16.84,$0.74,22.68
2014-09-30,14.98,$0.54,27.83
2014-06-30,17.58,$0.85,20.59
2014-03-31,19.59,$0.77,25.35
2013-12-31,18.65,$0.74,25.18
2013-09-30,14.74,$0.89,16.61
2013-06-30,12.72,$0.80,15.83
2013-03-31,9.71,$0.88,11.09
2012-12-31,9.85,$0.82,12.05
2012-09-30,9.3,$0.42,22.1
2012-06-30,8.67,$0.06,135.49
2012-03-31,9.65,$-0.46,0.0
2011-12-31,8.41,$0.08,104.84
2011-09-30,7.4,$-0.02,0.0
2011-06-30,8.77,$-0.04,0.0
2010-12-31,9.97,$0.22,45.79
2010-09-30,8.65,$1.32,6.55
2010-06-30,8.28,$1.22,6.81
2010-03-31,8.42,$1.76,4.77
2009-12-31,8.57,$2.23,3.84
2011-03-31,9.77,$0.73,13.43
