Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.84,,2.43
2024-06-30,39.39,$14.78,2.67
2024-03-31,39.99,$14.91,2.68
2023-12-31,34.13,$15.28,2.23
2023-09-30,25.75,$18.55,1.39
2023-06-30,25.82,$18.80,1.37
2023-03-31,24.09,$19.47,1.24
2022-12-31,22.9,$19.61,1.17
2022-09-30,25.78,$18.91,1.36
2022-06-30,30.77,$17.44,1.76
2022-03-31,39.62,$12.83,3.09
2021-12-31,43.12,$11.07,3.9
2021-09-30,45.99,$11.53,3.99
2021-06-30,44.68,$11.17,4.0
2021-03-31,40.38,$10.85,3.72
2020-12-31,31.69,$9.92,3.2
2020-09-30,22.12,$9.17,2.41
2020-06-30,17.34,$8.72,1.99
2020-03-31,12.47,$9.75,1.28
2019-12-31,26.26,$10.24,2.56
2019-09-30,28.34,$9.81,2.89
2019-06-30,26.35,$9.67,2.72
2019-03-31,23.24,$9.87,2.36
2018-12-31,19.03,$9.70,1.96
2018-09-30,22.08,$9.35,2.36
2018-06-30,21.81,$9.09,2.4
2018-03-31,22.43,$8.94,2.51
2017-12-31,23.99,$8.96,2.68
2017-09-30,19.86,$9.53,2.09
2017-06-30,17.02,$8.97,1.9
2017-03-31,16.49,$9.51,1.73
2016-12-31,15.37,$9.47,1.62
2016-09-30,15.66,$9.81,1.6
2016-06-30,13.67,$11.99,1.14
2016-03-31,14.99,$12.55,1.19
2015-12-31,14.93,$10.58,1.41
2015-09-30,16.32,$10.16,1.61
2015-06-30,17.96,$7.53,2.38
2015-03-31,16.8,$5.63,2.98
2014-12-31,18.92,$7.06,2.68
