EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,59.1,,20.06
2024-06-30,53.48,$2.95,18.15
2024-03-31,52.28,$3.30,15.87
2023-12-31,42.98,$3.70,11.63
2023-09-30,43.18,$4.62,9.34
2023-06-30,43.52,$4.56,9.54
2023-03-31,42.96,$4.55,9.45
2022-12-31,39.92,$3.50,11.41
2022-09-30,35.26,$2.85,12.37
2022-03-31,54.33,$2.86,19.02
2021-12-31,62.84,$3.34,18.83
2021-09-30,65.66,$4.64,14.17
2021-06-30,66.01,$3.63,18.2
2021-03-31,57.41,$2.18,26.36
2020-12-31,46.96,$2.07,22.68
2022-06-30,39.72,$1.16,34.13
2020-09-30,48.53,$2.67,18.15
2020-06-30,48.72,$3.84,12.68
2020-03-31,27.82,$3.29,8.45
2019-12-31,33.27,$3.04,10.93
2019-09-30,35.77,$3.41,10.48
2019-06-30,36.12,$2.66,13.57
2019-03-31,33.83,$2.13,15.86
2018-12-31,25.48,$2.05,12.41
2018-09-30,29.97,$1.69,17.75
2018-06-30,32.91,$1.97,16.7
2018-03-31,36.52,$2.25,16.21
2017-12-31,34.25,$2.33,14.7
2017-09-30,34.91,$1.98,17.64
2017-06-30,31.69,$1.85,17.13
2017-03-31,30.47,$1.92,15.9
2016-12-31,26.95,$1.92,14.01
2016-09-30,29.86,$2.30,13.01
2016-06-30,21.25,$2.11,10.07
2016-03-31,21.65,$2.35,9.22
2015-12-31,24.94,$2.79,8.92
2015-09-30,22.18,$3.19,6.95
2015-06-30,21.51,$3.94,5.46
2015-03-31,20.59,$4.17,4.94
2014-12-31,20.04,$4.07,4.92
2014-09-30,20.22,$4.42,4.58
2014-06-30,17.87,$4.08,4.38
2014-03-31,19.72,$3.57,5.52
2013-12-31,19.59,$3.30,5.94
2013-09-30,19.92,$2.59,7.7
2013-06-30,18.47,$2.41,7.66
2013-03-31,19.36,$2.22,8.72
2012-12-31,18.21,$1.96,9.3
2012-09-30,17.27,$1.66,10.41
2012-06-30,15.0,$1.46,10.25
2012-03-31,13.18,$1.56,8.43
2011-12-31,10.83,$1.76,6.15
2011-09-30,10.53,$1.73,6.08
2011-06-30,11.52,$1.77,6.53
2011-03-31,11.08,$1.74,6.37
2010-12-31,9.94,$1.52,6.52
2010-09-30,8.71,$1.49,5.84
2010-06-30,7.0,$1.48,4.74
2010-03-31,9.63,$1.55,6.23
2009-12-31,8.4,$1.79,4.68
