United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.8,,0.0
2024-06-30,37.75,$-3.28,0.0
2024-03-31,40.68,$-2.29,0.0
2023-12-31,48.47,$-1.83,0.0
2023-09-30,32.32,$-0.66,0.0
2023-06-30,24.83,$1.00,24.75
2023-03-31,25.85,$-7.38,0.0
2022-12-31,24.77,$-1.17,0.0
2022-09-30,17.87,$3.21,5.57
2022-06-30,17.63,$3.68,4.79
2021-12-31,23.34,$11.60,2.01
2021-09-30,21.5,$3.96,5.43
2021-06-30,23.47,$0.81,28.89
2021-03-31,25.59,$-0.92,0.0
2020-12-31,16.39,$-2.99,0.0
2022-03-31,37.08,$-1.89,0.0
2020-09-30,7.16,$-3.26,0.0
2020-06-30,7.04,$-6.44,0.0
2020-03-31,6.14,$-4.22,0.0
2019-12-31,11.1,$-3.30,0.0
2019-09-30,11.19,$-4.16,0.0
2019-06-30,14.78,$-1.32,0.0
2019-03-31,18.75,$-0.14,0.0
2018-12-31,17.51,$-0.30,0.0
2018-09-30,29.21,$0.88,33.11
2018-06-30,33.24,$0.66,50.24
2018-03-31,33.62,$1.17,28.75
2017-12-31,33.57,$1.85,18.18
2017-09-30,24.43,$2.41,10.12
2017-06-30,21.04,$2.97,7.08
2017-03-31,32.05,$2.13,15.04
2016-12-31,31.25,$2.94,10.64
2016-09-30,17.81,$1.71,10.4
2016-06-30,15.89,$0.14,111.98
2016-03-31,15.08,$-0.92,0.0
2015-12-31,7.45,$-0.93,0.0
2015-09-30,9.68,$-0.26,0.0
2015-06-30,19.11,$-1.40,0.0
2015-03-31,22.57,$3.80,5.94
2014-12-31,24.68,$7.25,3.41
2014-09-30,36.11,$5.77,6.25
2014-06-30,23.97,$6.68,3.59
2014-03-31,25.37,$1.97,12.87
2013-12-31,27.05,$-0.42,0.0
2013-09-30,18.85,$1.29,14.56
2013-06-30,16.0,$1.58,10.11
2013-03-31,17.76,$2.19,8.12
2012-12-31,21.67,$3.93,5.51
2012-09-30,17.29,$2.32,7.46
2012-06-30,18.63,$1.07,17.47
2012-03-31,26.51,$-0.83,0.0
2011-12-31,23.85,$-4.44,0.0
2011-09-30,19.8,$-4.07,0.0
2011-06-30,41.35,$-4.64,0.0
2011-03-31,48.39,$-6.39,0.0
2010-12-31,52.37,$-6.17,0.0
2010-09-30,39.26,$-7.97,0.0
2010-06-30,34.48,$-8.87,0.0
2010-03-31,56.77,$-7.03,0.0
2009-12-31,49.21,$-2.34,0.0
