Marriott Vacations Worldwide Price to Free Cash Flow Ratio Historical Data,Marriott Vacations Worldwide Price to Free Cash Flow Ratio Historical Data,Marriott Vacations Worldwide Price to Free Cash Flow Ratio Historical Data,Marriott Vacations Worldwide Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.37,,29.29
2024-06-30,86.44,$2.74,31.5
2024-03-31,105.78,$3.48,30.41
2023-12-31,82.69,$2.99,27.67
2023-09-30,97.14,$3.57,27.23
2023-06-30,117.63,$5.16,22.79
2023-03-31,128.52,$5.71,22.5
2022-12-31,127.66,$10.18,12.54
2022-09-30,114.97,$8.33,13.8
2022-06-30,109.13,$7.97,13.69
2022-03-31,147.46,$11.03,13.37
2021-12-31,157.39,$6.91,22.79
2021-09-30,146.05,$9.78,14.93
2021-06-30,147.37,$12.34,11.95
2021-03-31,161.13,$8.34,19.32
2020-12-31,126.94,$6.61,19.2
2020-09-30,84.01,$8.61,9.76
2020-06-30,76.05,$5.28,14.4
2020-03-31,51.42,$4.96,10.37
2019-12-31,118.45,$8.70,13.62
2019-09-30,94.92,$3.56,26.65
2019-06-30,87.94,$0.63,140.26
2019-03-31,84.89,$1.33,63.62
2018-12-31,63.73,$1.68,38.01
2018-09-30,100.33,$3.91,25.68
2018-06-30,101.07,$5.96,16.97
2018-03-31,118.78,$3.46,34.3
2017-12-31,120.23,$4.19,28.71
2017-09-30,110.4,$3.02,36.57
2017-06-30,104.07,$3.64,28.61
2017-03-31,88.05,$7.50,11.74
2016-12-31,74.47,$6.16,12.09
2016-09-30,64.1,$5.04,12.73
2016-06-30,59.63,$1.79,33.25
2016-03-31,58.48,$1.19,49.02
2015-12-31,49.07,$1.73,28.36
2015-09-30,58.41,$5.24,11.14
2015-06-30,78.36,$9.27,8.45
2015-03-31,69.02,$7.12,9.69
2014-12-31,63.28,$7.22,8.77
2014-09-30,53.63,$5.93,9.04
2014-06-30,49.59,$3.94,12.58
2013-12-31,44.62,$3.89,11.48
2013-09-30,37.21,$5.46,6.81
2013-06-30,36.57,$5.07,7.21
2013-03-31,36.29,$5.27,6.88
2012-12-31,35.24,$7.78,4.53
2014-03-31,47.28,$6.07,7.79
2012-09-30,30.46,$13.79,2.21
