Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.71,,18.23
2024-06-30,21.16,$1.19,17.76
2024-03-31,22.02,$5.90,3.73
2023-12-31,23.3,$5.41,4.31
2023-09-30,20.09,$4.98,4.04
2023-06-30,21.85,$3.89,5.61
2022-12-31,17.83,$-4.53,0.0
2022-09-30,15.45,$-14.40,0.0
2022-06-30,15.9,$-13.99,0.0
2022-03-31,24.26,$-10.72,0.0
2021-12-31,28.42,$-7.48,0.0
2023-03-31,19.75,$0.81,24.33
2021-09-30,20.07,$-5.05,0.0
2021-06-30,17.5,$-8.51,0.0
2021-03-31,14.57,$-7.37,0.0
2020-12-31,12.82,$-11.46,0.0
2020-09-30,10.41,$-17.56,0.0
2020-06-30,10.62,$-22.66,0.0
2020-03-31,9.11,$-24.83,0.0
2019-12-31,14.53,$-20.32,0.0
2019-09-30,14.18,$-31.86,0.0
2019-06-30,14.36,$-30.61,0.0
2019-03-31,12.51,$-33.94,0.0
2018-12-31,9.17,$-32.68,0.0
2018-09-30,10.93,$-71.87,0.0
2018-06-30,11.02,$-78.72,0.0
2018-03-31,11.57,$-76.37,0.0
