CareTrust REIT Price to Free Cash Flow Ratio Historical Data,CareTrust REIT Price to Free Cash Flow Ratio Historical Data,CareTrust REIT Price to Free Cash Flow Ratio Historical Data,CareTrust REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.66,,0.0
2024-06-30,24.87,$-0.53,0.0
2024-03-31,23.87,$-0.74,0.0
2023-12-31,21.66,$-0.88,0.0
2023-09-30,19.6,$-0.63,0.0
2023-06-30,18.73,$-0.39,0.0
2023-03-31,18.21,$1.04,17.57
2022-12-31,17.03,$1.19,14.29
2022-09-30,16.36,$-0.72,0.0
2022-06-30,16.4,$0.86,19.14
2022-03-31,16.92,$1.02,16.6
2021-12-31,19.73,$-0.44,0.0
2021-09-30,17.36,$1.94,8.95
2021-06-30,19.59,$0.20,99.82
2021-03-31,19.42,$-0.04,0.0
2020-12-31,18.29,$1.41,12.95
2020-09-30,14.51,$0.88,16.55
2020-06-30,13.8,$0.62,22.13
2020-03-31,11.72,$-2.13,0.0
2019-12-31,16.09,$-2.16,0.0
2019-09-30,18.13,$-3.71,0.0
2019-06-30,18.17,$-2.63,0.0
2019-03-31,17.76,$0.16,114.35
2018-12-31,13.84,$-0.33,0.0
2018-09-30,13.13,$0.17,79.21
2018-06-30,12.23,$-3.54,0.0
2018-03-31,9.7,$-2.52,0.0
2017-12-31,11.95,$-2.88,0.0
2017-09-30,13.43,$-3.55,0.0
2017-06-30,12.95,$-1.28,0.0
2017-03-31,11.64,$-2.94,0.0
2016-12-31,10.48,$-3.85,0.0
2016-09-30,10.0,$-2.10,0.0
2016-06-30,9.22,$-1.44,0.0
2016-03-31,8.39,$-0.19,0.0
2015-12-31,7.14,$1.02,7.01
2015-09-30,7.29,$-0.24,0.0
2015-06-30,8.03,$-0.11,0.0
2015-03-31,8.49,$-1.29,0.0
