Transcat Price to Free Cash Flow Ratio Historical Data,Transcat Price to Free Cash Flow Ratio Historical Data,Transcat Price to Free Cash Flow Ratio Historical Data,Transcat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,130.58,,57.48
2024-06-30,119.68,$2.27,52.69
2024-03-31,111.43,$2.32,48.13
2023-12-31,109.33,$2.13,51.37
2023-09-30,97.97,$2.25,43.54
2023-06-30,85.31,$1.65,51.8
2023-03-31,89.39,$0.99,90.55
2022-12-31,70.87,$1.04,68.35
2022-09-30,75.69,$0.57,133.09
2022-06-30,56.81,$0.84,67.58
2022-03-31,81.14,$1.00,81.29
2021-12-31,92.43,$1.61,57.31
2021-09-30,64.48,$1.51,42.73
2021-06-30,56.51,$2.00,28.26
2021-03-31,49.08,$2.26,21.74
2020-12-31,34.68,$1.74,19.99
2020-09-30,29.3,$2.07,14.17
2020-06-30,25.86,$1.11,23.26
2020-03-31,26.5,$0.69,38.41
2019-12-31,31.86,$0.95,33.4
2019-09-30,25.61,$0.45,57.14
2019-06-30,25.59,$0.53,47.86
2019-03-31,22.98,$0.74,31.04
2018-12-31,19.02,$0.69,27.77
2018-09-30,22.85,$1.02,22.5
2018-06-30,18.9,$1.40,13.52
2018-03-31,15.65,$0.55,28.55
2017-12-31,14.25,$0.46,30.94
2017-09-30,13.55,$-0.33,0.0
2017-06-30,12.15,$-0.21,0.0
2017-03-31,12.7,$0.33,38.38
2016-12-31,10.8,$0.43,25.22
2016-09-30,10.94,$0.96,11.43
2016-06-30,10.05,$0.60,16.77
2016-03-31,10.14,$0.97,10.45
2015-12-31,9.94,$0.86,11.58
2015-09-30,9.75,$0.82,11.86
2015-06-30,9.45,$0.80,11.8
2015-03-31,9.76,$0.14,69.61
2014-12-31,10.22,$0.14,71.07
2014-09-30,9.15,$0.49,18.5
2014-06-30,10.26,$0.44,23.23
2014-03-31,9.37,$0.80,11.68
2013-12-31,7.99,$0.77,10.33
2013-09-30,7.84,$0.42,18.6
2013-06-30,6.8,$0.59,11.55
2013-03-31,6.36,$0.34,18.68
2012-12-31,5.93,$0.49,12.15
2012-09-30,5.32,$0.55,9.75
2012-06-30,6.23,$0.46,13.57
2012-03-31,13.11,$0.64,20.6
2011-12-31,11.5,$0.08,145.02
2011-09-30,11.45,$0.10,115.89
2011-06-30,10.96,$0.03,433.2
2011-03-31,8.35,$0.12,67.83
2010-12-31,8.75,$0.41,21.27
2010-09-30,7.39,$0.45,16.36
2010-06-30,7.5,$0.54,13.83
2010-03-31,7.45,$0.49,15.19
2009-12-31,7.75,$0.67,11.5
