DigitalBridge Price to Free Cash Flow Ratio Historical Data,DigitalBridge Price to Free Cash Flow Ratio Historical Data,DigitalBridge Price to Free Cash Flow Ratio Historical Data,DigitalBridge Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.89,,120.2
2024-06-30,13.69,$0.13,103.56
2024-03-31,19.24,$-1.76,0.0
2023-12-31,17.51,$-2.47,0.0
2023-09-30,17.54,$-3.30,0.0
2023-06-30,14.66,$-2.63,0.0
2023-03-31,11.94,$-6.83,0.0
2022-12-31,10.89,$-11.11,0.0
2022-09-30,12.44,$-11.11,0.0
2022-06-30,19.4,$-14.88,0.0
2022-03-31,28.62,$-6.96,0.0
2021-12-31,33.11,$-1.28,0.0
2021-09-30,23.97,$-9.72,0.0
2021-06-30,31.4,$-15.43,0.0
2021-03-31,25.76,$-16.62,0.0
2020-12-31,19.12,$-17.22,0.0
2020-09-30,10.85,$36.02,0.3
2020-06-30,9.54,$45.47,0.21
2020-03-31,6.96,$43.85,0.16
2019-12-31,17.81,$36.37,0.49
2019-09-30,22.06,$-9.26,0.0
2019-06-30,17.98,$-9.04,0.0
2019-03-31,18.72,$-7.22,0.0
2018-12-31,16.14,$0.18,91.8
2018-09-30,20.52,$4.33,4.74
2018-06-30,20.65,$4.62,4.47
2018-03-31,18.28,$0.37,49.09
2017-12-31,36.4,$6.50,5.6
2017-09-30,39.15,$4.63,8.45
2017-06-30,42.99,$6.08,7.07
2017-03-31,38.65,$9.95,3.88
2016-12-31,40.48,$7.17,5.65
2016-09-30,34.83,$-12.78,0.0
2016-06-30,27.27,$-14.55,0.0
2016-03-31,30.07,$-13.78,0.0
2015-12-31,31.88,$-16.74,0.0
2015-09-30,37.42,$3.92,9.55
2015-06-30,47.92,$2.57,18.61
2015-03-31,60.21,$1.18,50.87
