ASE Technology Holding Price to Free Cash Flow Ratio Historical Data,ASE Technology Holding Price to Free Cash Flow Ratio Historical Data,ASE Technology Holding Price to Free Cash Flow Ratio Historical Data,ASE Technology Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.74,,15.15
2024-06-30,11.42,$0.71,16.11
2024-03-31,10.99,$0.74,14.9
2023-12-31,9.41,$0.91,10.31
2023-09-30,7.52,$0.83,9.1
2023-06-30,7.79,$0.76,10.26
2023-03-31,7.97,$0.66,12.07
2022-12-31,6.27,$0.59,10.65
2022-09-30,4.99,$0.40,12.34
2022-06-30,5.17,$0.30,17.17
2022-03-31,6.64,$0.34,19.42
2021-12-31,7.32,$0.21,35.64
2021-09-30,7.35,$0.16,46.9
2021-06-30,7.36,$0.26,28.02
2021-03-31,7.04,$0.32,22.04
2020-12-31,5.34,$0.29,18.45
2020-09-30,3.73,$0.29,12.89
2020-06-30,4.08,$0.18,22.21
2020-03-31,3.36,$0.13,25.53
2019-12-31,4.99,$0.24,20.54
2019-09-30,4.0,$0.16,24.93
2019-06-30,3.46,$0.31,11.08
2019-03-31,3.77,$0.28,13.71
2018-12-31,3.28,$0.17,19.75
2018-09-30,4.23,$0.42,10.06
2018-06-30,4.03,$0.36,11.34
2018-03-31,6.36,$0.39,16.28
2017-12-31,5.67,$0.39,14.53
2017-09-30,5.41,$0.39,13.93
2017-06-30,5.33,$0.39,13.73
2017-03-31,5.47,$0.39,14.1
2016-12-31,4.26,$0.39,10.96
2016-09-30,4.99,$0.43,11.66
2016-06-30,4.52,$0.43,10.57
2016-03-31,4.74,$0.29,16.16
2015-12-31,4.6,$0.43,10.74
2015-09-30,4.45,$0.11,40.51
2015-06-30,5.05,$0.11,45.96
2015-03-31,5.51,$0.09,61.84
2014-12-31,4.69,$0.11,42.69
2014-09-30,4.52,$0.22,20.63
2014-06-30,4.8,$0.09,51.32
2014-03-31,4.1,$0.56,7.37
2013-12-31,3.55,$0.22,16.18
2013-09-30,3.53,$-0.00,0.0
2013-06-30,2.82,$0.13,22.41
2012-12-31,2.97,$-0.18,0.0
2012-09-30,2.59,$0.07,38.6
2012-06-30,2.77,$0.07,41.33
2012-03-31,3.49,$0.04,81.36
2011-12-31,2.95,$0.07,44.07
2011-09-30,2.87,$0.05,52.68
2011-06-30,3.79,$0.05,69.49
2011-03-31,3.68,$0.08,46.82
2010-12-31,3.85,$0.05,70.72
2013-03-31,2.85,0,0.0
2010-09-30,2.76,$0.07,39.54
2010-06-30,2.55,$0.07,36.59
2010-03-31,2.96,$0.07,42.39
2009-12-31,2.89,$0.07,41.46
