MaxLinear Price to Free Cash Flow Ratio Historical Data,MaxLinear Price to Free Cash Flow Ratio Historical Data,MaxLinear Price to Free Cash Flow Ratio Historical Data,MaxLinear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.2,,0.0
2024-06-30,20.14,$-0.38,0.0
2024-03-31,18.67,$0.01,0.0
2023-12-31,23.77,$0.37,64.14
2023-09-30,22.25,$1.20,18.48
2023-06-30,31.56,$2.06,15.33
2023-03-31,35.21,$3.15,11.19
2022-12-31,33.95,$4.30,7.9
2022-09-30,32.62,$3.73,8.74
2022-06-30,33.98,$3.99,8.51
2022-03-31,58.35,$2.79,20.93
2021-12-31,75.39,$1.62,46.55
2021-09-30,49.25,$2.55,19.3
2021-06-30,42.49,$1.33,32.0
2021-03-31,34.08,$1.19,28.55
2020-12-31,38.19,$0.84,45.71
2020-09-30,23.24,$0.21,110.77
2020-06-30,21.46,$0.79,27.05
2020-03-31,11.67,$0.89,13.17
2019-12-31,21.22,$1.01,21.09
2019-09-30,22.38,$0.99,22.71
2019-06-30,23.44,$1.12,20.93
2019-03-31,25.53,$1.45,17.64
2018-12-31,17.6,$1.39,12.71
2018-09-30,19.88,$1.34,14.88
2018-06-30,15.59,$1.45,10.73
2018-03-31,22.75,$0.84,27.09
2017-12-31,26.42,$1.02,25.88
2017-09-30,23.75,$1.12,21.21
2017-06-30,27.89,$0.82,34.07
2017-03-31,28.05,$1.39,20.19
2016-12-31,21.8,$1.61,13.55
2016-09-30,20.27,$1.74,11.66
2016-06-30,17.98,$1.83,9.83
2016-03-31,18.5,$1.44,12.86
2015-12-31,14.73,$0.98,15.11
2015-09-30,12.44,$0.28,45.14
2015-06-30,12.1,$0.03,374.61
2015-03-31,8.13,$0.09,88.76
2014-12-31,7.41,$0.09,78.66
2014-09-30,6.88,$0.35,19.77
2014-06-30,10.07,$0.33,30.86
2014-03-31,9.48,$0.35,26.86
2013-12-31,10.43,$0.29,36.47
2013-09-30,8.29,$0.20,41.66
2013-06-30,7.0,$0.28,24.94
2013-03-31,6.2,$0.14,44.03
2012-12-31,5.02,$0.08,66.93
2012-09-30,6.69,$0.01,0.0
2012-06-30,4.96,$-0.23,0.0
2012-03-31,5.57,$-0.28,0.0
2011-12-31,4.75,$-0.31,0.0
2011-09-30,6.46,$-0.34,0.0
2011-06-30,8.66,$-0.05,0.0
2011-03-31,8.17,$-0.12,0.0
2010-12-31,10.76,$0.06,168.92
