Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,312.85,,38.16
2024-06-30,275.31,$8.20,33.58
2024-03-31,291.2,$17.92,16.25
2023-12-31,235.26,$19.29,12.19
2023-09-30,222.69,$15.17,14.68
2023-06-30,237.24,$7.70,30.8
2023-03-31,229.48,$9.05,25.35
2022-12-31,231.29,$7.35,31.47
2022-09-30,193.05,$7.14,27.05
2022-06-30,182.34,$8.83,20.65
2022-03-31,191.87,$9.15,20.97
2021-12-31,202.72,$10.43,19.43
2021-09-30,207.37,$14.08,14.73
2021-06-30,223.74,$18.55,12.06
2021-03-31,236.53,$14.39,16.43
2020-12-31,206.16,$14.72,14.0
2020-09-30,190.58,$12.27,15.54
2020-06-30,155.4,$11.09,14.01
2020-03-31,120.37,$16.00,7.52
2019-12-31,157.95,$15.89,9.94
2019-09-30,142.54,$16.34,8.72
2019-06-30,148.8,$14.69,10.13
2019-03-31,136.13,$13.31,10.22
2018-12-31,114.39,$10.25,11.16
2018-09-30,124.06,$9.85,12.6
2018-06-30,112.08,$9.15,12.25
2018-03-31,135.59,$8.33,16.28
2017-12-31,146.82,$11.24,13.06
2017-09-30,138.76,$10.12,13.72
2017-06-30,133.03,$8.99,14.8
2017-03-31,123.17,$9.03,13.64
2016-12-31,110.59,$8.40,13.17
2016-09-30,102.92,$9.41,10.94
2016-06-30,89.57,$9.00,9.95
2016-03-31,86.82,$8.28,10.48
2015-12-31,68.81,$7.54,9.12
2015-09-30,84.06,$7.12,11.81
2015-06-30,100.8,$7.62,13.22
2015-03-31,105.93,$7.88,13.45
2014-12-31,109.54,$8.32,13.17
2014-09-30,99.74,$7.99,12.49
2014-06-30,115.99,$6.39,18.16
2014-03-31,111.54,$6.72,16.6
2013-12-31,105.06,$7.54,13.94
2013-09-30,98.55,$7.43,13.26
2013-06-30,80.04,$7.39,10.83
2013-03-31,85.11,$6.65,12.79
2012-12-31,79.28,$4.44,17.86
2012-09-30,67.13,$4.31,15.56
2012-06-30,70.21,$5.50,12.76
2012-03-31,86.62,$7.00,12.37
2011-12-31,63.31,$7.54,8.4
2011-09-30,58.49,$6.16,9.5
2011-06-30,73.77,$4.34,16.99
2011-03-31,77.95,$2.93,26.59
2010-12-31,78.04,$3.54,22.07
2010-09-30,64.08,$4.06,15.8
2010-06-30,45.92,$5.19,8.84
2010-03-31,43.57,$4.73,9.21
2009-12-31,32.15,$4.23,7.59
