"AVANOS MEDICAL, INC Price to Free Cash Flow Ratio Historical Data","AVANOS MEDICAL, INC Price to Free Cash Flow Ratio Historical Data","AVANOS MEDICAL, INC Price to Free Cash Flow Ratio Historical Data","AVANOS MEDICAL, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.61,,53.24
2024-06-30,19.92,$0.44,44.92
2023-12-31,22.43,$0.31,71.59
2023-09-30,20.22,$1.94,10.43
2023-06-30,25.56,$1.14,22.38
2023-03-31,29.74,$1.78,16.72
2022-12-31,27.06,$2.49,10.86
2024-03-31,19.91,$0.65,30.56
2022-09-30,21.78,$1.88,11.57
2022-06-30,27.34,$1.77,15.47
2022-03-31,33.5,$1.48,22.56
2021-12-31,34.67,$1.36,25.41
2021-09-30,31.2,$0.31,101.69
2021-06-30,36.37,$-0.11,0.0
2021-03-31,43.74,$-0.43,0.0
2020-12-31,45.88,$-0.47,0.0
2020-09-30,33.22,$-0.63,0.0
2020-06-30,29.39,$-1.08,0.0
2020-03-31,26.93,$-2.11,0.0
2019-12-31,33.7,$-2.63,0.0
2019-09-30,37.46,$-3.03,0.0
2019-06-30,43.61,$-4.13,0.0
2019-03-31,42.68,$-4.87,0.0
