NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.73,,4.04
2024-06-30,39.12,$11.07,3.53
2024-03-31,31.48,$9.36,3.36
2023-12-31,33.15,$5.46,6.07
2023-09-30,30.59,$4.61,6.64
2023-06-30,42.74,$2.12,20.21
2023-03-31,40.66,$-3.01,0.0
2022-12-31,40.14,$-3.41,0.0
2022-09-30,42.23,$-4.18,0.0
2022-06-30,56.72,$-7.07,0.0
2022-03-31,81.44,$-6.73,0.0
2021-12-31,75.27,$-6.59,0.0
2021-09-30,55.29,$-10.42,0.0
2021-06-30,48.86,$-5.62,0.0
2021-03-31,40.71,$-0.62,0.0
2020-12-31,37.09,$2.48,14.93
2020-09-30,38.58,$-3.90,0.0
2020-06-30,30.53,$-11.58,0.0
2020-03-31,21.58,$-11.94,0.0
2019-12-31,38.21,$-20.48,0.0
2019-09-30,39.42,$-10.07,0.0
2019-06-30,34.7,$-10.72,0.0
2019-03-31,31.92,$-10.49,0.0
2018-12-31,28.95,$-3.96,0.0
2018-09-30,27.21,$-6.92,0.0
2018-06-30,23.14,$5.96,3.88
2018-03-31,20.02,$4.25,4.71
2017-12-31,22.29,$1.99,11.22
2017-09-30,18.76,$-2.60,0.0
2017-06-30,19.49,$-6.50,0.0
2017-03-31,18.76,$-1.80,0.0
2016-12-31,17.18,$-0.85,0.0
2016-09-30,14.96,$6.35,2.35
2016-06-30,13.7,$-0.38,0.0
2016-03-31,9.72,$-4.83,0.0
2015-12-31,9.57,$-11.68,0.0
