Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.74,,17.58
2024-06-30,123.59,$6.58,18.77
2024-03-31,128.19,$8.44,15.2
2023-12-31,122.52,$5.81,21.1
2023-09-30,100.93,$6.23,16.2
2023-06-30,99.2,$5.62,17.65
2023-03-31,100.69,$3.36,30.0
2022-12-31,100.88,$1.69,59.58
2022-09-30,83.53,$1.45,57.66
2022-06-30,93.4,$0.04,2432.28
2022-03-31,89.69,$-3.89,0.0
2021-12-31,87.55,$-0.38,0.0
2021-09-30,81.1,$-0.82,0.0
2021-06-30,87.25,$0.31,277.17
2020-12-31,86.88,$4.69,18.53
2020-09-30,60.25,$4.73,12.73
2020-06-30,73.51,$4.14,17.76
2020-03-31,65.61,$5.01,13.11
2019-12-31,97.67,$5.33,18.34
2019-09-30,83.72,$5.74,14.59
2019-06-30,85.69,$5.41,15.84
2019-03-31,77.8,$3.43,22.7
2018-12-31,57.65,$3.09,18.66
2018-09-30,71.22,$2.27,31.31
2018-06-30,71.03,$2.99,23.77
2018-03-31,63.29,$3.27,19.33
2017-12-31,65.13,$2.43,26.85
2017-09-30,56.55,$1.35,41.87
2017-06-30,60.13,$0.63,94.74
2017-03-31,59.03,$2.41,24.5
2016-12-31,62.45,$3.64,17.15
2016-09-30,55.12,$3.95,13.95
2016-06-30,41.69,$4.18,9.97
2016-03-31,39.03,$3.64,10.73
2015-12-31,48.89,$4.09,11.96
2015-09-30,41.64,$4.93,8.45
2015-06-30,40.32,$4.54,8.89
2015-03-31,41.25,$3.57,11.55
2014-12-31,37.97,$3.73,10.18
2014-09-30,31.72,$3.03,10.48
2014-06-30,38.15,$1.85,20.58
2014-03-31,39.71,$2.18,18.19
2013-12-31,40.58,$2.08,19.49
2013-09-30,40.52,$1.02,39.6
2013-06-30,34.89,$2.44,14.28
2013-03-31,38.46,$2.36,16.27
2012-12-31,29.95,$2.21,13.56
2012-09-30,27.7,$2.92,9.5
2012-06-30,24.18,$2.30,10.5
2021-03-31,98.33,$2.00,49.09
2012-03-31,24.81,$1.64,15.15
2011-12-31,22.92,$1.13,20.29
2011-09-30,19.77,$1.18,16.76
2011-06-30,27.45,$1.62,16.89
2011-03-31,26.08,$1.89,13.81
2010-12-31,16.66,$2.00,8.33
2010-09-30,12.44,$2.50,4.98
2010-06-30,7.66,$2.21,3.47
2010-03-31,9.28,$2.50,3.71
2009-12-31,8.24,$3.25,2.54
