Seabridge Gold Price to Free Cash Flow Ratio Historical Data,Seabridge Gold Price to Free Cash Flow Ratio Historical Data,Seabridge Gold Price to Free Cash Flow Ratio Historical Data,Seabridge Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.36,,0.0
2024-06-30,13.69,$-2.65,0.0
2024-03-31,15.12,$-2.11,0.0
2023-12-31,12.13,$-2.25,0.0
2023-09-30,10.55,$-3.50,0.0
2023-06-30,12.05,$-1.89,0.0
2023-03-31,12.95,$-2.20,0.0
2022-12-31,12.58,$-1.84,0.0
2022-09-30,11.87,$-0.55,0.0
2022-06-30,12.43,$-0.42,0.0
2022-03-31,18.5,$-0.48,0.0
2021-12-31,16.49,$-0.43,0.0
2021-09-30,15.45,$0.12,130.05
2021-06-30,17.55,$-0.08,0.0
2021-03-31,16.17,$-0.12,0.0
2020-12-31,21.07,$-0.12,0.0
2020-09-30,18.78,$-0.12,0.0
2020-06-30,17.54,$-0.17,0.0
2020-03-31,9.35,$-0.14,0.0
2019-12-31,13.82,$-0.13,0.0
2019-09-30,12.66,$-0.17,0.0
2019-06-30,13.53,$-0.15,0.0
2019-03-31,12.39,$-0.13,0.0
2018-12-31,13.23,$-0.12,0.0
2018-09-30,12.95,$-0.12,0.0
2018-06-30,11.15,$-0.12,0.0
2018-03-31,10.8,$-0.12,0.0
2017-12-31,11.3,$-0.14,0.0
2017-09-30,12.2,$-0.11,0.0
2017-06-30,10.8,$-0.11,0.0
2017-03-31,11.0,$-0.11,0.0
2016-12-31,8.15,$-0.07,0.0
2016-09-30,11.03,$-0.25,0.0
2016-06-30,14.68,$-0.34,0.0
2016-03-31,10.96,$-0.42,0.0
2015-12-31,8.29,$-1.01,0.0
2015-06-30,6.11,$-0.58,0.0
2015-03-31,5.49,$-0.59,0.0
2014-12-31,7.55,$-0.63,0.0
2014-09-30,8.04,$-0.20,0.0
2014-06-30,9.38,$-0.69,0.0
2014-03-31,7.08,$-0.72,0.0
2013-12-31,7.3,$-0.80,0.0
2013-09-30,10.46,$-0.99,0.0
2013-06-30,9.43,$-1.14,0.0
2013-03-31,13.8,$-1.15,0.0
2012-12-31,17.97,$-1.08,0.0
2012-09-30,19.4,$-0.88,0.0
2012-06-30,14.49,$-0.53,0.0
2015-09-30,5.8,$-0.91,0.0
2012-03-31,20.09,$-1.12,0.0
2011-12-31,16.11,$-0.96,0.0
2011-09-30,22.48,$-1.26,0.0
2011-06-30,28.21,$-1.20,0.0
2011-03-31,31.82,$-1.10,0.0
2010-12-31,30.68,$-1.12,0.0
2010-09-30,28.68,$-0.82,0.0
2010-06-30,30.95,$-0.67,0.0
2010-03-31,24.36,$-0.48,0.0
2009-12-31,24.27,$-0.71,0.0
