Alpha Metallurgical Resources Price to Free Cash Flow Ratio Historical Data,Alpha Metallurgical Resources Price to Free Cash Flow Ratio Historical Data,Alpha Metallurgical Resources Price to Free Cash Flow Ratio Historical Data,Alpha Metallurgical Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,210.99,,6.4
2024-06-30,280.53,$32.98,8.51
2024-03-31,331.17,$45.26,7.32
2023-12-31,338.92,$41.93,8.08
2023-09-30,259.27,$38.69,6.7
2023-06-30,163.73,$59.25,2.76
2023-03-31,154.89,$63.51,2.44
2022-12-31,144.96,$72.62,2.0
2022-09-30,130.67,$72.01,1.81
2022-06-30,122.96,$46.71,2.63
2022-03-31,125.33,$23.11,5.42
2021-12-31,57.98,$5.29,10.96
2021-09-30,47.29,$2.13,22.17
2021-06-30,24.34,$-3.61,0.0
2021-03-31,12.0,$-0.43,0.0
2020-12-31,10.8,$-1.13,0.0
2020-09-30,6.95,$-5.12,0.0
2020-06-30,2.89,$-5.43,0.0
2020-03-31,2.23,$-4.42,0.0
2019-12-31,8.6,$-3.07,0.0
2019-09-30,26.56,$6.33,4.19
