Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.01,,9.96
2024-06-30,83.56,$7.63,10.95
2023-12-31,93.7,$-3.72,0.0
2023-09-30,73.96,$-11.30,0.0
2023-06-30,93.89,$-11.51,0.0
2023-03-31,100.83,$-14.95,0.0
2022-12-31,103.82,$-8.26,0.0
2024-03-31,89.61,$-5.17,0.0
2022-09-30,91.05,$-6.66,0.0
2022-06-30,98.2,$-6.89,0.0
2022-03-31,95.45,$-6.47,0.0
2021-12-31,119.68,$-5.23,0.0
2021-09-30,108.44,$-1.96,0.0
2021-06-30,115.17,$2.24,51.39
2021-03-31,121.45,$4.14,29.3
2020-12-31,113.72,$4.62,24.63
2020-09-30,103.62,$4.54,22.81
2020-06-30,92.09,$3.47,26.51
2020-03-31,83.66,$3.96,21.12
2019-12-31,96.59,$4.84,19.96
2019-09-30,91.27,$5.84,15.62
2019-06-30,86.2,$6.19,13.92
2019-03-31,81.84,$2.71,30.21
2018-12-31,69.02,$5.91,11.68
2018-06-30,72.57,$4.61,15.75
2018-03-31,77.15,$4.75,16.25
2017-12-31,73.04,$5.14,14.2
2017-09-30,77.17,$5.43,14.21
2017-06-30,80.17,$4.14,19.36
2017-03-31,72.33,$4.92,14.72
2016-12-31,74.59,$4.72,15.79
2016-09-30,66.34,$3.54,18.76
2016-06-30,54.21,$2.91,18.62
2016-03-31,50.18,$0.83,60.43
2015-12-31,44.94,$2.57,17.47
2018-09-30,81.15,$1.43,56.78
2015-09-30,37.49,$1.38,27.16
2015-06-30,48.56,$1.27,38.28
2015-03-31,37.25,$0.69,54.19
2014-12-31,35.68,$-0.84,0.0
2014-09-30,39.34,$1.10,35.69
2014-06-30,46.7,$1.47,31.83
2014-03-31,56.85,$2.57,22.1
2013-12-31,57.63,$2.51,23.0
2013-09-30,50.56,$1.02,49.68
2013-06-30,48.56,$1.30,37.22
2013-03-31,54.94,$0.52,105.42
2012-12-31,48.24,$1.14,42.48
2012-09-30,41.67,$2.65,15.72
2012-06-30,40.71,$2.33,17.51
2012-03-31,37.84,$1.15,32.84
2011-12-31,34.44,$-0.26,0.0
2011-09-30,28.75,$-2.11,0.0
2011-06-30,30.24,$-2.90,0.0
2011-03-31,30.8,$-2.22,0.0
2010-12-31,32.28,$-0.81,0.0
2010-09-30,24.93,$0.78,31.98
2010-06-30,28.74,$2.13,13.48
2010-03-31,23.39,$5.01,4.67
2009-12-31,26.99,$5.73,4.71
