XPEL Price to Free Cash Flow Ratio Historical Data,XPEL Price to Free Cash Flow Ratio Historical Data,XPEL Price to Free Cash Flow Ratio Historical Data,XPEL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.65,,47.01
2024-06-30,35.56,$0.91,39.19
2024-03-31,54.02,$0.92,58.7
2023-12-31,53.85,$1.12,47.91
2023-09-30,77.11,$1.22,63.16
2023-06-30,84.22,$1.26,66.89
2023-03-31,67.95,$0.34,199.91
2022-12-31,60.06,$0.15,395.39
2022-09-30,64.44,$0.03,2557.14
2022-06-30,45.93,$-0.38,0.0
2022-03-31,52.61,$-0.09,0.0
2021-12-31,68.28,$0.42,162.42
2021-09-30,75.86,$0.69,110.52
2021-06-30,83.87,$0.78,107.25
2021-03-31,51.93,$0.90,57.94
2020-12-31,51.56,$0.61,85.03
2020-09-30,26.08,$0.64,40.68
2020-06-30,15.64,$0.73,21.33
