CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,225.64,,21.07
2024-06-30,223.24,$10.71,20.85
2024-03-31,254.41,$11.23,22.65
2023-12-31,225.54,$10.64,21.19
2023-09-30,199.61,$8.52,23.43
2023-06-30,181.01,$7.56,23.95
2023-03-31,191.57,$8.77,21.86
2022-12-31,175.04,$8.82,19.85
2022-09-30,152.51,$8.05,18.94
2022-06-30,153.54,$7.81,19.66
2022-03-31,173.77,$5.09,34.12
2021-12-31,198.34,$4.87,40.71
2021-09-30,175.85,$7.90,22.26
2021-06-30,168.39,$7.27,23.17
2021-03-31,159.43,$8.89,17.94
2020-12-31,126.45,$7.99,15.84
2020-09-30,114.35,$5.40,21.17
2020-06-30,110.78,$5.73,19.32
2020-03-31,88.62,$5.15,17.2
2019-12-31,135.32,$5.35,25.29
2019-09-30,116.42,$5.89,19.76
2019-06-30,104.59,$5.90,17.74
2019-03-31,90.54,$5.57,16.27
2018-12-31,75.91,$5.34,14.22
2018-09-30,83.01,$5.54,14.99
2018-06-30,75.23,$4.21,17.87
2018-03-31,65.3,$3.58,18.22
2017-12-31,64.35,$4.40,14.62
2017-09-30,60.93,$2.92,20.9
2017-06-30,57.58,$3.67,15.7
2017-03-31,52.99,$2.94,18.02
2016-12-31,47.7,$3.26,14.65
2016-09-30,41.75,$2.40,17.4
2016-06-30,36.5,$2.37,15.38
2016-03-31,37.7,$2.59,14.55
2015-12-31,38.08,$1.09,34.91
2015-09-30,36.93,$1.84,20.07
2015-06-30,30.93,$1.74,17.73
2015-03-31,33.53,$1.79,18.73
2014-12-31,31.61,$2.20,14.38
2014-09-30,27.85,$1.80,15.49
2014-06-30,28.56,$1.63,17.49
2014-03-31,24.55,$3.39,7.25
