Caleres Price to Free Cash Flow Ratio Historical Data,Caleres Price to Free Cash Flow Ratio Historical Data,Caleres Price to Free Cash Flow Ratio Historical Data,Caleres Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.92,,8.46
2024-07-31,38.48,$4.01,9.59
2024-04-30,36.75,$4.27,8.61
2024-01-31,31.25,$4.41,7.09
2023-10-31,25.42,$5.25,4.84
2023-07-31,26.81,$4.72,5.68
2023-04-30,22.53,$2.43,9.28
2023-01-31,25.63,$1.75,14.67
2022-10-31,26.83,$-0.78,0.0
2022-07-31,24.3,$0.68,35.86
2022-04-30,22.4,$2.31,9.72
2022-01-31,23.34,$3.89,6.0
2021-10-31,22.37,$5.15,4.35
2021-07-31,23.93,$4.61,5.19
2021-04-30,22.49,$4.70,4.78
2021-01-31,14.52,$2.80,5.18
2020-10-31,7.34,$2.74,2.68
2020-07-31,5.99,$2.47,2.42
2020-04-30,7.62,$2.25,3.39
2020-01-31,16.15,$3.04,5.31
2019-10-31,19.75,$2.83,6.98
2019-07-31,17.18,$2.01,8.55
2019-04-30,23.91,$1.20,19.89
2019-01-31,27.12,$1.50,18.06
2018-10-31,31.0,$2.68,11.59
2018-07-31,30.3,$2.92,10.38
2018-04-30,29.55,$3.08,9.61
2018-01-31,26.7,$3.34,8.0
2017-10-31,24.57,$2.82,8.71
2017-07-31,24.47,$3.18,7.7
2017-04-30,25.78,$3.10,8.31
2017-01-31,27.44,$2.94,9.33
2016-10-31,22.27,$2.96,7.52
2016-07-31,23.37,$1.70,13.77
2016-04-30,22.32,$2.68,8.33
2016-01-31,23.74,$1.77,13.43
2015-10-31,26.92,$1.87,14.36
2015-07-31,29.04,$2.58,11.27
2015-04-30,26.05,$1.16,22.5
2015-01-31,24.85,$1.63,15.27
2014-10-31,23.21,$1.49,15.55
2014-07-31,24.55,$2.15,11.43
2014-04-30,20.49,$-1.31,0.0
2014-01-31,20.52,$-1.10,0.0
2013-10-31,19.39,$-1.77,0.0
2013-07-31,20.48,$-1.67,0.0
2013-01-31,14.74,$3.29,4.48
2012-10-31,13.45,$2.22,6.05
2012-07-31,11.67,$2.49,4.69
2012-04-30,7.68,$1.05,7.34
2012-01-31,7.91,$-0.08,0.0
2013-04-30,14.52,$-0.03,0.0
2011-10-31,7.4,$-0.07,0.0
2011-07-31,8.31,$-1.56,0.0
2011-04-30,10.33,$-1.49,0.0
2011-01-31,10.28,$-0.15,0.0
2010-10-31,9.49,$-0.60,0.0
2010-04-30,15.02,$1.50,10.01
2010-01-31,9.74,$1.64,5.96
2009-10-31,8.19,$-0.64,0.0
2009-07-31,6.07,$-0.52,0.0
