Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.85,,8.96
2024-06-30,40.7,$6.01,6.77
2024-03-31,40.07,$5.87,6.82
2023-12-31,43.82,$6.99,6.27
2023-09-30,36.6,$5.72,6.39
2023-06-30,37.92,$6.41,5.92
2023-03-31,42.99,$6.29,6.83
2022-12-31,46.95,$5.77,8.14
2022-09-30,42.02,$6.80,6.18
2022-06-30,39.4,$5.58,7.06
2022-03-31,44.68,$6.02,7.42
2021-12-31,44.29,$4.58,9.66
2021-09-30,42.4,$3.99,10.62
2021-06-30,43.25,$4.80,9.02
2021-03-31,45.92,$3.61,12.71
2020-12-31,32.35,$4.94,6.55
2020-09-30,25.12,$4.72,5.32
2020-06-30,28.49,$4.80,5.93
2020-03-31,25.4,$3.88,6.54
2019-12-31,43.62,$3.29,13.25
2019-09-30,36.73,$4.41,8.34
2019-06-30,37.35,$3.08,12.13
2019-03-31,36.47,$4.20,8.68
2018-12-31,33.56,$4.54,7.39
2018-09-30,47.16,$3.83,12.33
2018-06-30,47.85,$4.37,10.94
2018-03-31,41.51,$4.20,9.89
2017-12-31,39.88,$1.86,21.44
2017-09-30,37.31,$3.12,11.97
2017-06-30,35.84,$3.23,11.09
2017-03-31,37.15,$2.37,15.71
2016-12-31,37.58,$3.94,9.53
2016-09-30,27.24,$1.63,16.75
2016-06-30,24.22,$2.67,9.06
2016-03-31,23.4,$2.40,9.76
2015-12-31,24.45,$2.25,10.87
2015-09-30,21.65,$3.18,6.81
2015-03-31,17.67,$1.75,10.1
2014-12-31,16.83,$1.47,11.44
2014-09-30,14.22,$1.99,7.15
2014-06-30,15.32,$1.08,14.21
2014-03-31,16.97,$0.74,22.79
2013-12-31,17.22,$1.35,12.76
2015-06-30,19.53,$0.87,22.52
2013-09-30,14.22,$0.51,27.63
2013-06-30,13.38,$0.81,16.57
2013-03-31,11.98,$1.15,10.43
2012-12-31,10.88,$1.69,6.44
2012-09-30,11.28,$1.89,5.97
2012-06-30,9.05,$1.39,6.5
2012-03-31,9.65,$1.28,7.53
2011-12-31,12.11,$1.45,8.38
2011-09-30,11.08,$2.30,4.81
2011-06-30,10.99,$2.96,3.71
2011-03-31,11.38,$3.02,3.76
2010-12-31,8.42,$3.27,2.57
2010-09-30,7.45,$2.04,3.65
2010-06-30,7.68,$2.15,3.57
2010-03-31,8.76,$2.37,3.7
2009-12-31,6.07,$2.20,2.76
