Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.99,,10.62
2024-06-30,18.48,$1.88,9.82
2024-03-31,21.63,$1.85,11.7
2023-12-31,21.67,$1.58,13.68
2023-09-30,20.63,$3.06,6.74
2023-06-30,26.28,$3.02,8.7
2023-03-31,30.5,$2.92,10.43
2022-12-31,32.74,$2.99,10.95
2022-09-30,31.57,$3.12,10.11
2022-06-30,32.99,$2.93,11.25
2022-03-31,32.74,$3.98,8.23
2021-12-31,37.66,$3.39,11.09
2021-09-30,35.26,$2.93,12.05
2021-06-30,31.48,$2.71,11.62
2021-03-31,30.46,$1.55,19.69
2020-12-31,31.41,$-0.24,0.0
2020-09-30,29.22,$1.42,20.58
2020-06-30,30.33,$2.06,14.7
2020-03-31,28.95,$6.27,4.62
2019-12-31,33.52,$8.69,3.86
2019-09-30,25.59,$7.01,3.65
2019-06-30,34.61,$7.04,4.91
2019-03-31,30.52,$-0.35,0.0
2018-12-31,33.05,$3.05,10.82
2018-09-30,40.51,$3.34,12.11
2018-06-30,32.19,$3.02,10.65
2018-03-31,27.7,$7.66,3.62
2017-12-31,25.83,$6.84,3.78
2017-09-30,28.82,$6.61,4.36
2017-06-30,31.85,$6.37,5.0
2017-03-31,28.16,$4.94,5.71
2016-12-31,26.86,$0.46,58.72
2016-09-30,28.62,$2.16,13.23
2016-06-30,28.93,$2.03,14.28
2016-03-31,29.52,$4.23,6.98
2015-12-31,31.21,$7.12,4.38
2015-09-30,30.41,$7.29,4.17
2015-06-30,34.03,$8.22,4.14
2015-03-31,33.25,$10.02,3.32
2014-12-31,29.67,$10.27,2.89
2014-09-30,29.08,$3.48,8.37
2014-06-30,25.66,$12.19,2.11
