SkyWest Price to Free Cash Flow Ratio Historical Data,SkyWest Price to Free Cash Flow Ratio Historical Data,SkyWest Price to Free Cash Flow Ratio Historical Data,SkyWest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.63,,8.11
2024-06-30,82.07,$11.67,7.03
2024-03-31,69.08,$11.72,5.89
2023-12-31,52.2,$9.77,5.34
2023-09-30,41.94,$7.65,5.48
2023-06-30,40.72,$3.43,11.89
2023-03-31,22.17,$-0.32,0.0
2022-12-31,16.51,$-3.66,0.0
2022-09-30,16.26,$-8.32,0.0
2022-06-30,21.25,$-6.69,0.0
2022-03-31,28.85,$-2.64,0.0
2021-12-31,39.3,$3.10,12.66
2021-09-30,49.34,$3.55,13.9
2021-06-30,43.07,$4.62,9.32
2021-03-31,54.48,$3.33,16.35
2020-12-31,40.31,$3.76,10.71
2020-09-30,29.86,$6.06,4.92
2020-06-30,32.62,$7.67,4.26
2020-03-31,26.19,$6.28,4.17
2019-12-31,64.29,$0.63,102.24
2019-09-30,56.99,$1.39,40.93
2019-06-30,60.11,$-2.75,0.0
2019-03-31,53.68,$-7.38,0.0
2018-12-31,43.87,$-6.36,0.0
2018-09-30,57.97,$-5.20,0.0
2018-06-30,51.0,$-1.65,0.0
2018-03-31,53.35,$-0.01,0.0
2017-12-31,51.98,$0.01,3712.79
2017-09-30,42.91,$-8.79,0.0
2017-06-30,34.25,$-13.25,0.0
2017-03-31,33.34,$-12.05,0.0
2016-12-31,35.4,$-12.51,0.0
2016-09-30,25.61,$-3.51,0.0
2016-06-30,25.61,$-0.82,0.0
2016-03-31,19.31,$-2.55,0.0
2015-12-31,18.34,$-5.67,0.0
2015-09-30,16.03,$-8.00,0.0
2015-06-30,14.44,$-8.58,0.0
2015-03-31,13.99,$-9.64,0.0
2014-12-31,12.68,$-7.34,0.0
2014-09-30,7.41,$-5.84,0.0
2014-06-30,11.58,$-3.85,0.0
2014-03-31,12.05,$1.22,9.84
2013-12-31,13.92,$2.64,5.28
2013-09-30,13.63,$3.21,4.24
2013-06-30,12.67,$4.16,3.04
2013-03-31,14.98,$4.31,3.47
2012-12-31,11.56,$4.62,2.5
2012-09-30,9.59,$2.68,3.58
2012-06-30,6.04,$1.00,6.06
2012-03-31,10.16,$-0.03,0.0
2011-12-31,11.53,$-0.46,0.0
2011-09-30,10.51,$1.95,5.38
2011-06-30,13.7,$3.22,4.25
2011-03-31,15.35,$3.52,4.36
2010-12-31,14.14,$3.47,4.08
2010-09-30,12.61,$0.17,74.6
2010-06-30,11.0,$-0.96,0.0
2010-03-31,12.82,$-1.77,0.0
2009-12-31,15.15,$-0.24,0.0
