Ready Capital Corp Price to Free Cash Flow Ratio Historical Data,Ready Capital Corp Price to Free Cash Flow Ratio Historical Data,Ready Capital Corp Price to Free Cash Flow Ratio Historical Data,Ready Capital Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.25,,10.23
2024-06-30,7.92,$0.71,11.17
2024-03-31,8.53,$0.74,11.51
2023-12-31,9.26,$0.87,10.66
2023-09-30,8.88,$2.68,3.32
2023-06-30,9.57,$2.99,3.2
2023-03-31,8.32,$3.23,2.57
2022-12-31,8.76,$3.13,2.8
2022-09-30,7.69,$2.42,3.18
2022-06-30,8.67,$0.43,20.21
2022-03-31,10.58,$1.14,9.28
2021-12-31,10.69,$0.11,100.43
2021-09-30,9.61,$0.49,19.63
2021-06-30,10.27,$1.03,9.93
2021-03-31,8.4,$2.51,3.35
2020-12-31,7.64,$1.60,4.77
2020-09-30,6.68,$0.20,33.12
2020-06-30,5.04,$0.72,6.99
2020-03-31,4.08,$-3.06,0.0
2019-12-31,8.22,$-1.25,0.0
2019-09-30,8.27,$-1.25,0.0
2019-06-30,7.55,$1.49,5.05
2019-03-31,7.24,$2.91,2.48
2018-12-31,6.64,$4.37,1.52
2018-09-30,7.78,$7.81,1.0
2018-06-30,7.41,$5.83,1.27
2018-03-31,6.74,$12.37,0.55
2017-12-31,6.58,$11.40,0.58
2017-09-30,6.65,$7.91,0.84
2017-06-30,6.15,$7.54,0.82
2017-03-31,5.84,$1.38,4.22
2016-12-31,5.3,$0.87,6.11
2016-09-30,5.54,$3.86,1.43
2016-06-30,5.12,$3.18,1.61
2016-03-31,5.42,$4.82,1.12
2015-12-31,5.33,$1.43,3.74
2015-09-30,4.61,$-12.03,0.0
2015-06-30,5.41,$-10.93,0.0
2015-03-31,5.83,$-13.60,0.0
2014-12-31,5.51,$-10.03,0.0
2014-09-30,5.39,$0.67,8.0
2014-06-30,5.07,$0.43,11.84
2014-03-31,4.96,$1.16,4.29
2013-12-31,4.66,$0.99,4.7
