Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,960.02,,3376.79
2024-06-30,904.12,$0.28,3180.16
2024-03-31,775.59,$-0.10,0.0
2023-12-31,580.15,$0.88,661.22
2023-09-30,533.59,$3.70,144.33
2023-06-30,464.91,$4.11,113.25
2023-03-31,339.56,$5.13,66.18
2022-12-31,360.56,$6.34,56.91
2022-09-30,317.8,$7.21,44.06
2022-06-30,317.66,$6.87,46.26
2022-03-31,279.63,$7.49,37.32
2021-12-31,268.59,$6.64,40.43
2021-09-30,223.94,$5.97,37.5
2021-06-30,221.74,$6.10,36.34
2021-03-31,179.7,$7.00,25.68
2020-12-31,161.73,$5.60,28.87
2020-09-30,141.05,$5.82,24.22
2020-06-30,155.68,$5.64,27.62
2020-03-31,130.93,$4.09,32.0
2019-12-31,123.4,$4.06,30.36
2019-09-30,104.39,$3.36,31.12
2019-06-30,103.42,$3.80,27.21
2019-03-31,120.47,$4.09,29.44
2018-12-31,106.86,$4.17,25.61
2018-09-30,98.59,$4.42,22.29
2018-06-30,77.97,$4.17,18.71
2018-03-31,70.21,$4.34,16.17
2017-12-31,76.09,$4.31,17.64
2017-09-30,76.58,$4.64,16.51
2017-06-30,73.21,$4.44,16.5
2017-03-31,74.34,$4.17,17.81
2016-12-31,64.57,$3.66,17.64
2016-09-30,70.01,$2.75,25.42
2016-06-30,68.26,$2.18,31.26
2016-03-31,62.0,$1.77,34.97
2015-12-31,72.04,$1.87,38.56
2015-09-30,71.11,$2.18,32.63
2015-06-30,70.52,$2.70,26.14
2015-03-31,60.95,$2.76,22.08
2014-12-31,57.47,$3.08,18.65
2014-09-30,53.63,$3.43,15.61
2014-06-30,51.0,$3.74,13.64
2014-03-31,47.89,$4.38,10.93
2013-12-31,41.12,$4.52,9.1
2013-09-30,40.19,$4.28,9.39
2013-06-30,38.88,$3.89,9.98
2013-03-31,44.56,$3.51,12.69
2012-12-31,38.34,$3.96,9.69
2012-09-30,36.48,$4.41,8.28
2012-06-30,32.64,$4.89,6.67
2012-03-31,30.27,$5.60,5.41
2011-12-31,30.86,$5.91,5.22
2011-09-30,27.09,$6.18,4.38
2011-06-30,27.13,$5.92,4.58
2011-03-31,25.1,$5.81,4.32
2010-12-31,24.66,$5.60,4.41
2010-09-30,25.35,$5.41,4.69
2010-06-30,22.94,$5.00,4.59
2010-03-31,24.46,$4.09,5.99
2009-12-31,23.77,$3.27,7.28
