Global Blue AG Price to Free Cash Flow Ratio Historical Data,Global Blue AG Price to Free Cash Flow Ratio Historical Data,Global Blue AG Price to Free Cash Flow Ratio Historical Data,Global Blue AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.19,,8.71
2024-06-30,4.82,$0.60,8.09
2024-03-31,5.24,$0.75,6.99
2023-09-30,6.08,$0.44,13.69
2023-06-30,4.88,$0.01,456.07
2023-03-31,6.0,$-0.03,0.0
2022-12-31,4.63,$-1.26,0.0
2022-09-30,4.63,$-0.63,0.0
2022-06-30,4.92,$-0.32,0.0
2022-03-31,5.5,$-0.32,0.0
2023-12-31,4.73,$0.54,8.75
2021-12-31,6.4,$-0.36,0.0
2021-09-30,6.46,$-0.54,0.0
2021-06-30,9.92,$-0.27,0.0
2021-03-31,12.18,$0.05,223.08
2020-06-30,10.24,$0.03,377.86
2020-03-31,10.12,$-0.00,0.0
2019-12-31,10.33,$-0.02,0.0
2019-09-30,10.22,$-0.08,0.0
2019-06-30,10.19,$-0.07,0.0
2019-03-31,9.95,$-0.02,0.0
