Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-09-16,27.49,,0.0
2024-06-30,27.04,$-0.92,0.0
2024-03-31,18.32,$-0.94,0.0
2023-12-31,12.27,$-0.86,0.0
2023-09-30,14.99,$-0.74,0.0
2023-06-30,32.49,$-0.70,0.0
2023-03-31,39.13,$-0.89,0.0
2022-12-31,52.85,$-1.05,0.0
2022-09-30,45.0,$-1.36,0.0
2022-06-30,36.39,$-1.43,0.0
2022-03-31,41.29,$-1.39,0.0
2021-12-31,42.61,$-1.26,0.0
2021-09-30,55.03,$-1.31,0.0
2021-06-30,47.86,$-1.21,0.0
2021-03-31,50.65,$-1.27,0.0
2020-12-31,62.98,$-1.30,0.0
2020-09-30,67.21,$-1.35,0.0
2020-06-30,41.89,$-1.40,0.0
2020-03-31,31.48,$-1.69,0.0
