Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data,Churchill Downs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,140.6,,429.97
2024-06-30,139.6,$0.33,426.91
2024-03-31,123.75,$-0.67,0.0
2023-12-31,134.93,$1.64,82.48
2023-09-30,115.66,$1.57,73.65
2023-06-30,138.71,$2.09,66.28
2023-03-31,128.1,$7.37,17.38
2022-12-31,105.37,$4.76,22.15
2022-09-30,91.48,$6.10,14.99
2022-06-30,95.14,$7.20,13.22
2022-03-31,110.17,$4.56,24.18
2021-12-31,119.67,$4.69,25.52
2021-09-30,118.92,$4.08,29.15
2021-06-30,98.2,$3.43,28.63
2021-03-31,112.65,$0.09,1306.79
2020-12-31,96.48,$-1.13,0.0
2020-09-30,80.87,$-0.98,0.0
2020-06-30,65.73,$-0.61,0.0
2020-03-31,50.82,$1.41,36.14
2019-12-31,67.73,$1.99,34.09
2019-09-30,60.67,$2.54,23.89
2019-06-30,56.55,$1.39,40.6
2019-03-31,44.36,$0.85,52.2
2018-12-31,39.96,$0.58,68.7
2018-09-30,45.22,$0.34,134.25
2018-06-30,48.28,$1.09,44.4
2018-03-31,39.74,$1.03,38.51
2017-12-31,37.89,$1.06,35.88
2017-09-30,33.36,$1.42,23.53
2017-06-30,29.65,$1.78,16.68
2017-03-31,25.7,$1.79,14.35
2016-12-31,24.34,$2.01,12.13
2016-09-30,23.47,$1.72,13.63
2016-06-30,20.27,$1.78,11.41
2016-03-31,23.72,$1.82,13.05
2015-12-31,22.69,$2.09,10.83
2015-09-30,21.29,$2.00,10.66
2015-06-30,19.9,$1.70,11.73
2015-03-31,18.3,$1.30,14.08
2014-12-31,15.17,$0.83,18.18
2014-09-30,15.36,$0.75,20.54
2014-06-30,14.19,$0.93,15.19
2014-03-31,14.38,$0.89,16.17
2013-12-31,14.12,$0.89,15.81
2013-09-30,13.49,$1.05,12.91
2013-06-30,12.3,$0.94,13.06
2013-03-31,10.92,$0.86,12.75
2012-12-31,10.36,$0.99,10.48
2012-09-30,9.67,$1.07,9.08
2012-06-30,9.06,$1.30,6.99
2012-03-31,8.62,$1.34,6.41
2011-12-31,8.03,$1.46,5.49
2011-09-30,5.94,$1.12,5.33
2011-06-30,6.87,$0.84,8.19
2011-03-31,6.32,$0.51,12.39
2010-12-31,6.61,$-0.02,0.0
2010-09-30,5.38,$-0.52,0.0
2010-06-30,4.94,$-0.71,0.0
2010-03-31,5.65,$-0.39,0.0
2009-12-31,5.63,$-0.13,0.0
