Opera Price to Free Cash Flow Ratio Historical Data,Opera Price to Free Cash Flow Ratio Historical Data,Opera Price to Free Cash Flow Ratio Historical Data,Opera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.44,,20.7
2024-06-30,13.61,$0.75,18.25
2024-03-31,15.33,$0.73,20.99
2023-12-31,12.44,$0.89,13.98
2023-09-30,10.59,$0.83,12.7
2023-06-30,18.68,$0.82,22.73
2023-03-31,9.37,$0.65,14.41
2022-12-31,5.18,$0.48,10.68
2022-09-30,3.57,$0.41,8.72
2022-06-30,3.63,$0.22,16.41
2022-03-31,4.86,$0.28,17.19
2021-12-31,5.81,$0.22,26.23
2021-09-30,7.28,$0.77,9.52
2021-06-30,8.44,$0.41,20.79
2021-03-31,8.23,$0.41,20.32
2020-12-31,7.51,$0.77,9.82
2020-09-30,8.05,$-0.11,0.0
2020-06-30,7.41,$0.11,70.28
2020-03-31,4.42,$-0.12,0.0
2019-12-31,7.61,$-0.47,0.0
2019-09-30,8.27,$-0.18,0.0
2019-06-30,8.59,$0.20,43.64
