National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data,National Steel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.09,,4.82
2024-06-30,2.3,$0.43,5.3
2024-03-31,2.97,$0.44,6.82
2023-12-31,3.73,$0.44,8.56
2023-09-30,2.17,$-0.19,0.0
2023-06-30,2.35,$0.20,11.89
2023-03-31,2.55,$-0.19,0.0
2022-12-31,2.21,$-0.19,0.0
2022-09-30,1.76,0,0.0
2022-06-30,2.17,$-0.39,0.0
2022-03-31,3.94,0,0.0
2021-12-31,3.2,0,0.0
2021-09-30,3.79,$0.62,6.07
2021-06-30,6.14,$0.91,6.77
2021-03-31,4.63,$1.03,4.48
2020-12-31,4.11,$1.11,3.7
2020-09-30,2.03,$0.75,2.71
2020-06-30,1.35,$0.48,2.83
2020-03-31,0.9,$0.40,2.28
2019-12-31,2.38,$0.49,4.88
2019-09-30,2.18,$0.31,6.93
2019-06-30,2.91,$0.37,7.78
2019-03-31,2.77,$0.29,9.5
2018-12-31,1.48,$0.18,8.32
2018-09-30,1.54,$-0.09,0.0
2018-06-30,1.27,$0.04,29.32
2018-03-31,1.65,$0.01,0.0
2017-12-31,1.54,$-0.11,0.0
2017-09-30,1.86,$-0.25,0.0
2017-06-30,1.35,$-0.37,0.0
2017-03-31,1.84,$-0.12,0.0
2016-12-31,2.03,$-0.29,0.0
2016-09-30,1.73,$0.92,1.9
2016-06-30,1.54,$0.87,1.77
2016-03-31,1.24,$0.19,6.39
2015-12-31,0.61,$0.76,0.81
2015-09-30,0.6,$-0.11,0.0
2015-06-30,1.04,$-0.25,0.0
2015-03-31,1.06,$0.05,22.61
2014-12-31,1.22,$-0.20,0.0
2014-09-30,2.07,$-0.21,0.0
2014-06-30,2.49,$-0.15,0.0
2014-03-31,2.55,$0.21,11.96
2013-12-31,3.5,$-0.09,0.0
2013-09-30,2.35,$0.32,7.46
2013-06-30,1.48,$0.38,3.88
2013-03-31,2.3,$-0.14,0.0
2012-12-31,2.98,$0.12,24.57
2012-09-30,2.84,$-0.37,0.0
2012-06-30,2.86,$-0.53,0.0
2012-03-31,4.52,$-0.08,0.0
2011-12-31,3.91,$-0.08,0.0
2011-09-30,3.8,$-0.53,0.0
2011-06-30,5.96,$-0.26,0.0
2011-03-31,7.54,$-0.41,0.0
2010-12-31,7.54,$-0.45,0.0
2010-09-30,7.99,$-0.02,0.0
2010-06-30,6.64,$0.06,105.97
2010-03-31,8.74,$-1.56,0.0
2009-12-31,6.99,$-1.84,0.0
