Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data,Molson Coors Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,53.97,,8.48
2024-06-30,50.42,$6.37,7.92
2024-03-31,66.71,$6.45,10.34
2023-12-31,60.29,$6.53,9.24
2023-09-30,62.22,$6.36,9.78
2023-06-30,64.01,$5.27,12.14
2023-03-31,49.91,$-1.72,0.0
2022-12-31,49.38,$-0.24,0.0
2022-09-30,45.68,$0.32,143.83
2022-06-30,51.51,$2.69,19.15
2021-12-31,43.17,$4.95,8.72
2021-09-30,42.87,$11.78,3.64
2021-06-30,49.28,$8.38,5.88
2021-03-31,46.95,$6.05,7.76
2020-12-31,41.48,$11.82,3.51
2022-03-31,50.08,$3.19,15.69
2020-09-30,30.8,$7.04,4.37
2020-06-30,31.54,$7.01,4.5
2020-03-31,35.8,$6.79,5.28
2019-12-31,48.89,$6.54,7.47
2019-09-30,51.57,$6.17,8.36
2019-06-30,49.67,$6.36,7.81
2019-03-31,52.52,$6.05,8.68
2018-12-31,49.12,$7.90,6.21
2018-09-30,53.79,$8.77,6.13
2018-06-30,59.15,$8.16,7.24
2018-03-31,65.05,$7.82,8.32
2017-12-31,70.5,$6.13,11.5
2017-09-30,69.76,$5.14,13.57
2017-06-30,73.44,$5.44,13.49
2017-03-31,81.06,$4.08,19.88
2016-12-31,82.08,$4.50,18.25
2016-09-30,92.24,$3.68,25.03
2016-06-30,84.62,$3.49,24.25
2016-03-31,80.16,$3.13,25.65
2015-12-31,77.91,$2.43,32.08
2015-09-30,68.57,$2.38,28.77
2015-06-30,57.32,$3.49,16.45
2015-03-31,60.79,$3.65,16.67
2014-12-31,60.52,$5.57,10.86
2014-09-30,60.16,$5.29,11.37
2014-06-30,59.64,$5.05,11.8
2014-03-31,47.06,$5.21,9.04
2013-12-31,44.6,$5.04,8.85
2013-09-30,39.58,$4.87,8.13
2013-06-30,37.54,$4.95,7.58
2013-03-31,38.14,$4.47,8.53
2012-12-31,33.12,$4.27,7.75
2012-09-30,34.59,$4.69,7.37
2012-06-30,31.72,$4.10,7.73
2012-03-31,34.21,$3.45,9.91
2011-12-31,32.68,$3.42,9.56
2011-09-30,29.49,$2.17,13.57
2011-06-30,33.06,$2.30,14.41
2011-03-31,34.4,$2.80,12.29
2010-12-31,36.6,$3.08,11.88
2010-09-30,34.23,$4.02,8.51
2010-06-30,30.51,$3.94,7.75
2010-03-31,30.09,$4.18,7.21
2009-12-31,32.12,$3.76,8.54
