Alignment Healthcare Price to Free Cash Flow Ratio Historical Data,Alignment Healthcare Price to Free Cash Flow Ratio Historical Data,Alignment Healthcare Price to Free Cash Flow Ratio Historical Data,Alignment Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.43,,0.0
2024-06-30,7.82,$-1.11,0.0
2024-03-31,4.96,$-1.03,0.0
2023-12-31,8.61,$-0.51,0.0
2023-09-30,6.94,$-0.31,0.0
2023-06-30,5.75,$0.26,22.38
2023-03-31,6.36,$0.14,46.9
2022-12-31,11.76,$-0.38,0.0
2022-09-30,11.84,$0.27,43.79
2022-06-30,11.41,$-0.23,0.0
2022-03-31,11.23,$-0.38,0.0
2021-12-31,14.06,$-0.56,0.0
