Methanex Price to Free Cash Flow Ratio Historical Data,Methanex Price to Free Cash Flow Ratio Historical Data,Methanex Price to Free Cash Flow Ratio Historical Data,Methanex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.07,,10.89
2024-06-30,48.03,$3.77,12.73
2024-03-31,44.25,$3.25,13.63
2023-12-31,46.75,$3.12,14.97
2023-09-30,44.29,$2.18,20.35
2023-06-30,40.49,$5.29,7.65
2023-03-31,45.35,$3.67,12.36
2022-12-31,36.75,$5.72,6.43
2022-09-30,30.79,$7.68,4.01
2022-06-30,36.75,$8.13,4.52
2022-03-31,52.28,$11.04,4.73
2021-12-31,37.8,$9.82,3.85
2021-09-30,43.87,$7.57,5.8
2021-06-30,31.42,$3.89,8.08
2021-03-31,34.92,$2.68,13.05
2020-12-31,43.69,$1.69,25.79
2020-09-30,23.11,$1.28,18.07
2020-06-30,17.1,$1.92,8.9
2020-03-31,11.49,$1.25,9.17
2019-12-31,35.46,$2.50,14.2
2019-09-30,32.25,$3.98,8.11
2019-06-30,40.93,$6.48,6.32
2019-03-31,50.79,$8.46,6.0
2018-12-31,42.78,$9.10,4.7
2018-09-30,69.8,$9.49,7.36
2018-06-30,62.12,$8.05,7.72
2018-03-31,53.03,$7.87,6.73
2017-12-31,52.63,$7.80,6.75
2017-09-30,43.49,$6.17,7.05
2017-06-30,37.87,$5.58,6.79
2017-03-31,40.03,$2.80,14.3
2016-12-31,37.17,$1.41,26.32
2016-09-30,30.09,$0.42,72.21
2016-06-30,24.31,$0.30,80.77
2016-03-31,26.6,$0.10,256.98
2015-12-31,27.12,$-1.42,0.0
2015-09-30,27.03,$5.48,4.93
2015-06-30,44.99,$2.37,19.02
2015-03-31,43.09,$6.49,6.64
2014-12-31,36.69,$7.60,4.83
2014-09-30,53.16,$0.69,76.85
2014-06-30,48.99,$3.68,13.33
2014-03-31,50.5,$-0.44,0.0
2013-12-31,46.65,$0.07,648.78
2013-09-30,40.23,$1.43,28.06
2013-06-30,33.48,$2.53,13.25
2013-03-31,31.61,$4.01,7.88
2012-12-31,24.67,$3.44,7.18
2012-09-30,21.97,$4.19,5.24
2012-06-30,21.3,$3.91,5.45
2012-03-31,24.65,$3.20,7.7
2011-12-31,17.25,$3.74,4.62
2011-09-30,15.63,$1.92,8.13
2011-06-30,23.37,$1.18,19.75
2011-03-31,23.13,$0.90,25.68
2010-12-31,22.39,$0.17,129.27
2010-09-30,17.95,$0.24,74.9
2010-06-30,14.34,$-0.99,0.0
2010-03-31,17.57,$-1.97,0.0
2009-12-31,14.01,$-2.47,0.0
