Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data,Cencora Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,239.57,,12.64
2024-06-30,224.82,$18.96,11.86
2024-03-31,241.92,$10.30,23.49
2023-12-31,204.02,$17.82,11.45
2023-09-30,178.32,$16.88,10.57
2023-06-30,190.17,$13.52,14.06
2023-03-31,157.79,$11.79,13.38
2022-12-31,162.8,$9.81,16.59
2022-09-30,132.54,$10.45,12.68
2022-06-30,138.14,$9.81,14.08
2022-03-31,150.6,$13.60,11.08
2021-12-31,128.94,$10.35,12.46
2021-09-30,115.47,$10.69,10.8
2021-06-30,110.27,$12.58,8.77
2021-03-31,113.29,$6.47,17.5
2020-12-31,93.41,$12.84,7.28
2020-09-30,92.23,$9.15,10.08
2020-06-30,95.51,$5.98,15.97
2020-03-31,83.47,$9.29,8.99
2019-12-31,79.83,$8.10,9.85
2019-09-30,76.96,$9.61,8.01
2019-06-30,79.33,$9.48,8.37
2019-03-31,73.61,$10.45,7.04
2018-12-31,68.56,$7.07,9.7
2018-09-30,84.6,$4.92,17.21
2018-06-30,77.88,$8.05,9.67
2018-03-31,78.39,$3.10,25.3
2017-12-31,83.17,$6.95,11.96
2017-09-30,74.6,$4.68,15.93
2017-06-30,84.83,$4.16,20.39
2017-03-31,79.09,$6.05,13.08
2016-12-31,69.59,$6.54,10.65
2016-09-30,71.57,$12.01,5.96
2016-06-30,70.01,$12.84,5.45
2016-03-31,76.05,$16.42,4.63
2015-12-31,90.77,$16.02,5.67
2015-09-30,82.84,$16.95,4.89
2015-06-30,92.49,$14.01,6.6
2015-03-31,98.61,$12.12,8.14
2014-12-31,77.99,$13.43,5.81
2014-09-30,66.65,$5.10,13.07
2014-06-30,62.46,$1.52,41.08
2014-03-31,56.18,$-0.36,0.0
2013-12-31,60.02,$-0.73,0.0
2013-09-30,51.98,$2.49,20.89
2013-06-30,47.15,$4.84,9.73
2013-03-31,43.28,$5.05,8.57
2012-12-31,36.16,$1.83,19.74
2012-09-30,32.25,$4.56,7.07
2012-06-30,32.67,$3.82,8.56
2012-03-31,32.81,$4.22,7.77
2011-12-31,30.66,$5.65,5.43
2011-09-30,30.62,$3.65,8.4
2011-06-30,33.91,$4.19,8.08
2011-03-31,32.31,$4.07,7.93
2010-12-31,27.79,$3.00,9.25
2010-09-30,24.89,$3.25,7.67
2010-06-30,25.71,$2.51,10.26
2010-03-31,23.36,$3.13,7.47
2009-12-31,20.99,$1.82,11.55
