Rogers Price to Free Cash Flow Ratio Historical Data,Rogers Price to Free Cash Flow Ratio Historical Data,Rogers Price to Free Cash Flow Ratio Historical Data,Rogers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.85,,16.84
2024-06-30,120.61,$6.29,19.19
2024-03-31,118.69,$6.06,19.58
2023-12-31,132.07,$4.28,30.87
2023-09-30,131.47,$6.15,21.39
2023-06-30,161.93,$3.56,45.55
2023-03-31,163.43,$2.09,78.1
2022-12-31,119.34,$0.67,178.55
2022-09-30,241.88,$-4.60,0.0
2022-06-30,262.09,$-2.97,0.0
2022-03-31,271.7,$-1.11,0.0
2021-12-31,273.0,$2.86,95.55
2021-09-30,186.48,$5.50,33.92
2021-06-30,200.8,$7.11,28.25
2021-03-31,188.21,$2.55,73.69
2020-12-31,155.29,$2.56,60.66
2020-09-30,98.06,$2.21,44.45
2020-06-30,124.6,$1.73,71.86
2019-12-31,124.73,$5.86,21.27
2019-09-30,136.71,$3.03,45.18
2019-06-30,172.58,$1.11,155.79
2019-03-31,158.88,$-3.61,0.0
2018-12-31,99.06,$-3.63,0.0
2020-03-31,94.42,$-2.57,0.0
2018-09-30,147.32,$-0.83,0.0
2018-06-30,111.46,$3.62,30.82
2018-03-31,119.54,$5.38,22.23
2017-12-31,161.92,$6.46,25.05
2017-09-30,133.28,$5.92,22.51
2017-06-30,108.62,$6.20,17.51
2017-03-31,85.87,$5.31,16.16
2016-12-31,76.81,$5.42,14.16
2016-09-30,61.08,$5.70,10.71
2016-06-30,61.1,$4.46,13.69
2016-03-31,59.87,$3.57,16.78
2015-12-31,51.57,$2.63,19.63
2015-09-30,53.18,$2.24,23.76
2015-06-30,66.14,$2.41,27.44
2015-03-31,82.21,$2.42,34.02
2014-12-31,81.44,$3.02,26.94
2014-09-30,54.76,$3.74,14.64
2014-06-30,66.35,$3.34,19.87
2014-03-31,62.42,$3.58,17.41
2013-12-31,61.5,$3.44,17.87
2013-09-30,59.48,$2.83,20.99
2013-06-30,47.32,$2.53,18.7
2013-03-31,47.62,$1.64,29.08
2012-12-31,49.66,$1.67,29.69
2012-09-30,42.36,$0.57,74.51
2012-06-30,39.61,$0.83,47.74
2011-12-31,36.86,$0.18,202.64
2011-09-30,39.13,$1.93,20.31
2011-06-30,46.2,$1.59,29.11
2011-03-31,45.06,$1.14,39.41
2010-12-31,38.25,$2.28,16.77
2012-03-31,38.75,$0.51,75.51
2010-09-30,31.48,$1.73,18.25
2010-06-30,27.77,$1.82,15.3
2010-03-31,29.01,$1.73,16.76
2009-12-31,30.31,$-0.60,0.0
