Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data,Consolidated Edison Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,101.56,,0.0
2024-06-30,88.69,$-6.22,0.0
2024-03-31,89.3,$-6.50,0.0
2023-12-31,88.61,$3.44,25.75
2023-09-30,82.57,$4.88,16.92
2023-06-30,86.48,$6.44,13.43
2023-03-31,90.75,$7.44,12.2
2022-12-31,89.62,$-1.60,0.0
2022-09-30,79.93,$-1.99,0.0
2022-06-30,87.94,$-0.74,0.0
2022-03-31,86.84,$-1.59,0.0
2021-12-31,77.5,$-2.62,0.0
2021-09-30,65.28,$-3.77,0.0
2021-06-30,63.86,$-6.06,0.0
2021-03-31,65.95,$-6.72,0.0
2020-12-31,63.02,$-6.02,0.0
2020-09-30,67.19,$-3.83,0.0
2020-06-30,61.48,$-2.82,0.0
2020-03-31,65.96,$-1.82,0.0
2019-12-31,75.89,$-1.38,0.0
2019-09-30,78.58,$-1.76,0.0
2019-06-30,72.31,$-1.63,0.0
2019-03-31,69.34,$-2.20,0.0
2018-12-31,61.93,$-3.38,0.0
2018-09-30,61.16,$-3.74,0.0
2018-06-30,62.03,$-2.94,0.0
2018-03-31,61.41,$-1.96,0.0
2017-12-31,66.32,$-0.94,0.0
2017-09-30,62.5,$-1.56,0.0
2017-06-30,62.09,$-0.65,0.0
2017-03-31,59.15,$-0.82,0.0
2016-12-31,55.6,$-0.58,0.0
2016-09-30,56.28,$0.38,149.02
2016-06-30,59.6,$-0.55,0.0
2016-03-31,56.26,$-0.83,0.0
2015-12-31,46.75,$0.01,3437.62
2015-09-30,48.13,$1.28,37.72
2015-06-30,41.27,$1.23,33.61
2015-03-31,43.04,$2.05,20.99
2014-12-31,46.1,$1.03,44.59
2014-09-30,39.18,$1.09,35.94
2014-06-30,39.49,$0.82,48.41
2014-03-31,36.27,$0.59,60.97
2013-12-31,36.94,$-0.69,0.0
2013-09-30,36.46,$-1.37,0.0
2013-06-30,38.16,$-0.70,0.0
2013-03-31,39.53,$-0.97,0.0
2012-12-31,35.59,$1.21,29.53
2012-09-30,37.97,$1.46,26.09
2012-06-30,39.05,$1.99,19.62
2012-03-31,36.31,$3.32,10.95
2011-12-31,38.16,$3.41,11.2
2011-09-30,34.72,$4.79,7.24
2011-06-30,32.07,$3.26,9.83
2011-03-31,30.21,$2.08,14.5
2010-12-31,29.17,$0.76,38.25
2010-09-30,28.04,$-1.02,0.0
2010-06-30,24.74,$-1.55,0.0
2010-03-31,25.24,$-1.68,0.0
2009-12-31,25.38,$0.38,66.17
