Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data,Cal-Maine Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.4,,15.15
2024-05-31,60.99,$6.23,9.79
2024-02-29,55.85,$16.04,3.48
2023-11-30,46.45,$15.05,3.09
2023-08-31,46.32,$21.69,2.14
2023-05-31,45.33,$24.62,1.84
2024-08-31,72.04,$14.45,4.98
2023-02-28,51.86,$14.39,3.6
2022-11-30,51.91,$7.66,6.78
2022-08-31,47.07,$4.09,11.5
2022-05-31,41.3,$0.92,45.01
2022-02-28,38.22,$-0.62,0.0
2021-08-31,31.22,$-1.22,0.0
2021-05-31,30.14,$-1.35,0.0
2021-02-28,32.86,$-1.33,0.0
2020-11-30,33.75,$0.40,85.19
2020-08-31,33.28,$1.10,30.16
2020-05-31,38.43,$0.74,51.96
2021-11-30,31.13,$-0.79,0.0
2020-02-29,30.09,$-2.87,0.0
2019-11-30,37.55,$-2.09,0.0
2019-08-31,34.97,$-0.96,0.0
2019-05-31,31.93,$1.00,31.88
2019-02-28,37.79,$2.22,17.02
2018-11-30,39.89,$2.80,14.24
2018-08-31,42.15,$4.58,9.21
2018-05-31,40.64,$3.75,10.84
2018-02-28,36.03,$2.73,13.19
2017-11-30,42.07,$1.10,38.12
2017-08-31,30.83,$-1.47,0.0
2017-05-31,31.46,$-2.33,0.0
2017-02-28,32.09,$-1.59,0.0
2016-11-30,34.42,$-1.29,0.0
2016-08-31,38.85,$2.21,17.56
2016-05-31,37.63,$6.52,5.78
2016-02-29,44.75,$6.61,6.77
2015-11-30,44.99,$7.38,6.1
2015-08-31,43.09,$3.90,11.06
2015-05-31,45.72,$1.75,26.07
2015-02-28,30.09,$1.94,15.48
2014-11-30,33.26,$0.93,35.75
2014-05-31,27.42,$1.36,20.2
2014-02-28,20.46,$0.92,22.17
2013-11-30,21.24,$0.28,75.12
2013-08-31,17.61,$0.86,20.54
2013-05-31,17.27,$1.67,10.36
2014-08-31,31.27,$0.85,36.78
2013-02-28,15.47,$0.62,24.84
2012-11-30,17.48,$0.78,22.35
2012-08-31,15.24,$0.96,15.93
2012-05-31,13.3,$1.51,8.81
2012-02-29,14.25,$1.33,10.75
2011-11-30,12.43,$1.55,8.02
2011-08-31,11.9,$1.03,11.5
2011-05-31,10.89,$0.91,12.0
2011-02-28,10.38,$1.23,8.45
2010-11-30,10.94,$1.55,7.08
2010-08-31,10.57,$2.25,4.7
2010-05-31,11.42,$2.15,5.3
2010-02-28,11.15,$2.16,5.16
2009-11-30,9.5,$2.36,4.03
