Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data,Webster Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.25,,9.64
2024-06-30,43.23,$5.63,7.69
2024-03-31,49.91,$5.72,8.72
2023-12-31,49.48,$5.50,9.0
2023-09-30,38.9,$6.84,5.69
2023-06-30,36.12,$6.80,5.31
2023-03-31,37.28,$7.55,4.93
2022-12-31,44.44,$7.80,5.7
2022-09-30,42.11,$8.43,5.0
2022-06-30,38.93,$7.64,5.09
2022-03-31,51.39,$4.92,10.45
2021-12-31,50.78,$5.83,8.7
2021-09-30,49.19,$4.63,10.62
2021-06-30,47.78,$4.13,11.57
2020-12-31,37.19,$3.99,9.31
2020-09-30,23.06,$2.18,10.59
2020-06-30,24.61,$3.45,7.14
2020-03-31,19.39,$2.53,7.67
2019-12-31,44.8,$3.86,11.62
2021-03-31,49.0,$3.73,13.12
2019-09-30,39.03,$0.86,45.14
2019-06-30,39.45,$3.15,12.54
2019-03-31,41.84,$3.75,11.15
2018-12-31,40.46,$4.74,8.54
2018-09-30,48.13,$6.54,7.36
2018-06-30,51.74,$5.33,9.72
2018-03-31,44.76,$4.46,10.05
2017-12-31,45.15,$4.55,9.93
2017-09-30,42.05,$5.30,7.93
2017-06-30,41.57,$4.88,8.53
2017-03-31,39.64,$5.37,7.38
2016-12-31,42.79,$3.91,10.95
2016-09-30,29.78,$2.94,10.12
2016-06-30,26.42,$1.39,18.98
2016-03-31,27.73,$0.95,29.12
2015-12-31,28.53,$1.93,14.78
2015-09-30,27.18,$1.09,24.99
2014-12-31,24.36,$2.39,10.2
2014-09-30,21.68,$5.89,3.68
2014-06-30,23.31,$1.86,12.51
2014-03-31,22.8,$2.83,8.05
2013-12-31,22.77,$4.20,5.43
2015-06-30,29.99,$1.01,29.78
2013-09-30,18.54,$4.71,3.94
2013-06-30,18.55,$4.30,4.31
2013-03-31,17.41,$2.94,5.92
2012-12-31,14.68,$2.58,5.69
2012-09-30,16.85,$1.94,8.69
2012-06-30,15.33,$1.75,8.76
2012-03-31,15.97,$1.89,8.43
2011-12-31,14.33,$2.63,5.45
2011-09-30,10.73,$3.14,3.42
2011-06-30,14.7,$3.60,4.08
2011-03-31,14.95,$6.41,2.33
2010-12-31,13.73,$3.88,3.54
2010-09-30,12.24,$3.30,3.71
2010-06-30,12.49,$4.06,3.08
2010-03-31,12.17,$-0.33,0.0
2009-12-31,8.26,$1.29,6.41
2009-09-30,8.67,$1.65,5.26
