TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data,TEGNA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.68,,7.91
2024-06-30,13.81,$2.11,6.55
2024-03-31,14.8,$2.35,6.31
2023-12-31,15.04,$2.56,5.89
2023-09-30,14.32,$2.76,5.2
2023-06-30,15.85,$3.09,5.13
2023-03-31,16.41,$3.28,5.0
2022-12-31,20.44,$3.39,6.03
2022-09-30,19.85,$3.06,6.48
2022-06-30,20.04,$2.79,7.18
2022-03-31,21.32,$-0.69,0.0
2021-12-31,17.59,$-0.29,0.0
2021-09-30,18.6,$0.04,435.64
2021-06-30,17.6,$0.01,0.0
2020-12-31,12.97,$3.46,3.75
2020-09-30,10.88,$2.96,3.67
2020-06-30,10.25,$2.28,4.5
2020-03-31,9.94,$2.09,4.75
2019-12-31,15.19,$1.60,9.5
2021-03-31,17.58,$0.95,18.48
2019-09-30,14.07,$1.51,9.34
2019-06-30,13.67,$1.88,7.27
2019-03-31,12.66,$2.05,6.16
2018-12-31,9.72,$2.13,4.56
2018-09-30,10.63,$1.49,7.13
2018-06-30,9.59,$1.16,8.23
2018-03-31,10.0,$1.06,9.4
2017-12-31,12.29,$1.44,8.55
2017-09-30,11.58,$2.21,5.25
2017-06-30,12.45,$2.69,4.63
2017-03-31,14.04,$2.72,5.16
2016-12-31,11.66,$2.66,4.39
2016-09-30,11.84,$2.25,5.27
2016-06-30,12.47,$2.06,6.06
2016-03-31,12.55,$2.19,5.73
2015-12-31,13.58,$2.37,5.74
2015-09-30,11.85,$2.83,4.18
2015-06-30,16.87,$2.90,5.82
2015-03-31,15.75,$3.07,5.13
2014-12-31,13.48,$3.02,4.47
2014-09-30,12.45,$2.62,4.76
2014-06-30,13.06,$2.26,5.77
2014-03-31,11.44,$2.26,5.06
2013-12-31,12.18,$1.72,7.06
2013-09-30,10.96,$2.14,5.13
2013-06-30,9.94,$2.38,4.17
2013-03-31,8.81,$2.30,3.84
2012-12-31,7.2,$2.81,2.56
2012-09-30,7.03,$2.62,2.69
2012-06-30,5.78,$2.65,2.18
2012-03-31,5.94,$2.78,2.13
2011-12-31,5.12,$3.06,1.68
2011-09-30,3.63,$2.53,1.44
2011-06-30,5.42,$2.75,1.97
2011-03-31,5.75,$2.60,2.21
2010-12-31,5.69,$2.91,1.95
2010-09-30,4.6,$3.66,1.26
2010-06-30,5.05,$3.58,1.41
2010-03-31,6.19,$3.88,1.59
2009-12-31,5.55,$3.38,1.64
