Ares Management Price to Free Cash Flow Ratio Historical Data,Ares Management Price to Free Cash Flow Ratio Historical Data,Ares Management Price to Free Cash Flow Ratio Historical Data,Ares Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,168.73,,41.45
2024-06-30,133.28,$4.07,32.74
2024-03-31,132.98,$-1.89,0.0
2023-12-31,118.92,$-1.53,0.0
2023-09-30,102.87,$0.39,265.33
2023-06-30,96.35,$-1.10,0.0
2023-03-31,83.44,$-1.72,0.0
2022-12-31,68.44,$-4.39,0.0
2022-09-30,61.95,$-7.86,0.0
2022-06-30,56.41,$-11.96,0.0
2022-03-31,79.76,$-8.78,0.0
2021-12-31,79.16,$-14.56,0.0
2021-09-30,71.46,$-12.94,0.0
2021-06-30,61.19,$-7.82,0.0
2021-03-31,53.48,$-4.41,0.0
2020-12-31,44.53,$-2.95,0.0
2020-09-30,37.94,$-3.61,0.0
2020-06-30,36.9,$-7.48,0.0
2020-03-31,28.45,$-17.42,0.0
2019-12-31,32.36,$-17.52,0.0
2019-09-30,24.08,$-11.23,0.0
2019-06-30,23.25,$-12.87,0.0
2019-03-31,20.38,$-18.50,0.0
2018-12-31,15.41,$-14.95,0.0
2018-09-30,19.85,$-25.92,0.0
2018-06-30,17.48,$-32.52,0.0
2018-03-31,17.75,$-19.08,0.0
2017-12-31,16.32,$-23.17,0.0
2017-09-30,14.88,$-19.37,0.0
2017-06-30,14.12,$-11.20,0.0
2017-03-31,14.76,$-11.41,0.0
2016-12-31,14.74,$-7.79,0.0
2016-09-30,13.21,$-3.24,0.0
2016-03-31,11.38,$0.43,26.64
2015-12-31,9.41,$-6.68,0.0
2015-09-30,12.6,$-6.43,0.0
2015-06-30,13.14,$-17.39,0.0
2015-03-31,13.0,$10.64,1.22
2014-12-31,11.88,$18.86,0.63
