Catalyst Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Catalyst Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Catalyst Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Catalyst Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.16,,12.8
2024-06-30,15.49,$1.65,9.37
2024-03-31,15.94,$1.41,11.29
2023-12-31,16.81,$1.26,13.34
2023-09-30,11.69,$1.19,9.84
2023-06-30,13.44,$1.10,12.21
2023-03-31,16.58,$1.07,15.51
2022-12-31,18.6,$1.04,17.86
2022-09-30,12.83,$0.86,14.99
2022-06-30,7.01,$0.70,10.08
2022-03-31,8.29,$0.60,13.79
2021-12-31,6.77,$0.55,12.3
2021-09-30,5.3,$0.50,10.67
2021-06-30,5.75,$0.40,14.22
2021-03-31,4.61,$0.38,12.03
2020-12-31,3.34,$0.42,7.88
2020-09-30,2.97,$0.42,7.1
2020-06-30,4.62,$0.46,10.02
2020-03-31,3.85,$0.47,8.16
2019-12-31,3.75,$0.33,11.49
2019-09-30,5.31,$0.13,42.04
2019-06-30,3.84,$-0.09,0.0
2019-03-31,5.1,$-0.27,0.0
2018-12-31,1.92,$-0.26,0.0
2018-09-30,3.78,$-0.22,0.0
2018-06-30,3.12,$-0.18,0.0
2018-03-31,2.39,$-0.17,0.0
2017-12-31,3.91,$-0.16,0.0
2017-09-30,2.52,$-0.17,0.0
2017-06-30,2.76,$-0.18,0.0
2017-03-31,1.95,$-0.19,0.0
2016-12-31,1.05,$-0.22,0.0
2016-09-30,1.09,$-0.23,0.0
2016-06-30,0.71,$-0.25,0.0
2016-03-31,1.17,$-0.24,0.0
2015-12-31,2.45,$-0.22,0.0
2015-09-30,3.0,$-0.23,0.0
2015-06-30,4.13,$-0.22,0.0
2015-03-31,4.33,$-0.21,0.0
2014-12-31,2.97,$-0.20,0.0
2014-09-30,3.32,$-0.22,0.0
2014-06-30,2.53,$-0.20,0.0
2014-03-31,2.26,$-0.21,0.0
2013-12-31,1.95,$-0.22,0.0
2013-09-30,3.05,$-0.19,0.0
2013-06-30,0.9,$-0.18,0.0
2013-03-31,0.49,$-0.17,0.0
2012-12-31,0.44,$-0.17,0.0
2012-09-30,1.51,$-0.18,0.0
2012-06-30,0.53,$-0.21,0.0
2012-03-31,1.11,$-0.24,0.0
2011-12-31,1.29,$-0.23,0.0
2011-09-30,1.49,$-0.21,0.0
2011-06-30,1.88,$-0.19,0.0
2011-03-31,1.12,$-0.19,0.0
2010-12-31,0.99,$-0.20,0.0
2010-09-30,1.12,$-0.18,0.0
2010-06-30,0.99,$-0.43,0.0
2010-03-31,0.8,$-0.57,0.0
2009-12-31,0.63,$-0.90,0.0
